Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
664(995)
Melhor resultado nxn: PC12_Cell_Differentiation, 777,  8,  8,  201, 1, 4, 508032, 19354.05, 51, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 197,  6, 12,  202, 1, 4, 566264, 19354.05, 86, 0.00, 1: 52; 2: 27; 3: 24; 4: 6; 
PC12_Cell_Differentiation, 967, 11,  6,  202, 1, 4, 525282, 19354.05, 0, 0.00, 1: 50; 2: 33; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 966,  7, 10,  202, 1, 4, 554307, 19354.05, 0, 0.00, 1: 48; 2: 35; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 665,  7, 10,  202, 1, 4, 554458, 19354.05, 8, 0.00, 1: 53; 2: 28; 3: 19; 4: 9; 
PC12_Cell_Differentiation, 984, 10,  7,  203, 1, 4, 554313, 19354.05, 56, 0.00, 1: 48; 2: 35; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 185,  6, 11,  203, 1, 4, 525285, 19354.05, 0, 0.00, 1: 48; 2: 35; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 352,  8,  8,  203, 1, 4, 508032, 19354.05, 5, 0.00, 1: 52; 2: 30; 3: 17; 4: 10; 
PC12_Cell_Differentiation, 886,  7, 10,  203, 1, 4, 554397, 19354.05, 0, 0.00, 1: 52; 2: 30; 3: 17; 4: 10; 
PC12_Cell_Differentiation, 210,  6, 12,  203, 1, 4, 566280, 19354.05, 154, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 179, 10,  7,  203, 1, 4, 554319, 19354.05, 0, 0.00, 1: 52; 2: 28; 3: 21; 4: 8; 
PC12_Cell_Differentiation, 432,  6, 11,  203, 1, 4, 525265, 19354.05, 0, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 871,  8,  9,  203, 1, 4, 566279, 19354.05, 0, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 909,  8,  8,  203, 1, 4, 508032, 19354.05, 86, 0.00, 1: 49; 2: 34; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 329,  8,  9,  203, 1, 4, 566282, 19354.05, 36, 0.00, 1: 52; 2: 28; 3: 21; 4: 8; 
PC12_Cell_Differentiation, 202, 11,  6,  203, 1, 4, 525289, 19354.05, 154, 0.00, 1: 53; 2: 28; 3: 18; 4: 10; 
PC12_Cell_Differentiation, 922,  6, 12,  203, 1, 4, 566213, 19354.05, 123, 0.00, 1: 54; 2: 24; 3: 23; 4: 8; 
PC12_Cell_Differentiation, 203, 10,  7,  203, 1, 4, 554327, 19354.05, 160, 0.00, 1: 56; 2: 23; 3: 19; 4: 11; 
PC12_Cell_Differentiation, 976,  7, 10,  203, 1, 4, 554315, 19354.05, 96, 0.00, 1: 47; 2: 37; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 233, 10,  7,  203, 1, 4, 554442, 19354.05, 65, 0.00, 1: 53; 2: 28; 3: 18; 4: 10; 
PC12_Cell_Differentiation, 303,  6, 11,  203, 1, 4, 525289, 19354.05, 0, 0.00, 1: 50; 2: 33; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 241,  8,  9,  203, 1, 4, 566289, 19354.05, 0, 0.00, 1: 52; 2: 29; 3: 19; 4: 9; 
PC12_Cell_Differentiation, 300,  6, 12,  203, 1, 4, 566286, 19354.05, 50, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 256,  7, 10,  203, 1, 4, 554416, 19354.05, 0, 0.00, 1: 54; 2: 25; 3: 21; 4: 9; 
PC12_Cell_Differentiation, 945,  7, 10,  203, 1, 4, 554337, 19354.05, 0, 0.00, 1: 52; 2: 29; 3: 19; 4: 9; 
PC12_Cell_Differentiation, 961,  7, 10,  203, 1, 4, 554403, 19354.05, 1, 0.00, 1: 54; 2: 28; 3: 15; 4: 12; 
PC12_Cell_Differentiation, 618,  6, 12,  203, 1, 4, 566347, 19354.05, 65, 0.00, 1: 49; 2: 35; 3: 16; 4: 9; 
PC12_Cell_Differentiation, 829,  8,  9,  203, 1, 4, 566233, 19354.05, 0, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 827, 11,  6,  203, 1, 4, 525284, 19354.05, 0, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 556,  8,  8,  203, 1, 4, 508032, 19354.05, 43, 0.00, 1: 52; 2: 29; 3: 19; 4: 9; 
PC12_Cell_Differentiation, 817,  8,  9,  203, 1, 4, 566126, 19354.05, 0, 0.00, 1: 50; 2: 33; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 560,  8,  9,  203, 1, 4, 566238, 19354.05, 21, 0.00, 1: 56; 2: 22; 3: 21; 4: 10; 
PC12_Cell_Differentiation, 999,  7, 10,  203, 1, 4, 554380, 19354.05, 0, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 816,  7, 10,  203, 1, 4, 554336, 19354.05, 0, 0.00, 1: 53; 2: 27; 3: 20; 4: 9; 
PC12_Cell_Differentiation, 607,  8,  9,  203, 1, 4, 566199, 19354.05, 0, 0.00, 1: 54; 2: 28; 3: 15; 4: 12; 
PC12_Cell_Differentiation, 794,  7, 10,  203, 1, 4, 554331, 19354.05, 123, 0.00, 1: 53; 2: 28; 3: 18; 4: 10; 
PC12_Cell_Differentiation, 842,  8,  8,  203, 1, 4, 508032, 19354.05, 123, 0.00, 1: 50; 2: 31; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 780,  7, 10,  203, 1, 4, 554366, 19354.05, 50, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 778,  8,  9,  203, 1, 4, 566207, 19354.05, 122, 0.00, 1: 50; 2: 31; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 651,  8,  9,  203, 1, 4, 566239, 19354.05, 0, 0.00, 1: 53; 2: 27; 3: 20; 4: 9; 
