Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
1053(744)
PC12_Cell_Differentiation, 415, 10,  7,  152, 1, 3, 554460, 19560.74, 0, 0.00, 1: 74; 2: 27; 3: 8; 
PC12_Cell_Differentiation, 417,  7, 10,  152, 1, 3, 554474, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 685,  6, 12,  152, 1, 3, 566066, 19560.74, 54, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 296,  6, 12,  152, 1, 3, 566278, 19560.74, 32, 0.00, 1: 73; 2: 29; 3: 7; 
PC12_Cell_Differentiation, 690,  7, 10,  152, 1, 3, 554262, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 290,  5, 14,  152, 1, 3, 554195, 19560.74, 0, 0.00, 1: 73; 2: 29; 3: 7; 
PC12_Cell_Differentiation, 429,  6, 12,  152, 1, 3, 566131, 19560.74, 68, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 279,  8,  9,  152, 1, 3, 566453, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 275,  8,  9,  152, 1, 3, 566416, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 784,  5, 13,  152, 1, 3, 515840, 19560.74, 96, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 441,  7, 10,  152, 1, 3, 554338, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 442, 10,  7,  152, 1, 3, 554564, 19560.74, 0, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 267, 10,  7,  152, 1, 3, 554487, 19560.74, 0, 0.00, 1: 74; 2: 27; 3: 8; 
PC12_Cell_Differentiation, 448,  7, 10,  152, 1, 3, 554406, 19560.74, 176, 0.00, 1: 69; 2: 37; 3: 3; 
PC12_Cell_Differentiation, 877,  6, 12,  152, 1, 3, 566206, 19560.74, 32, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 709, 11,  6,  152, 1, 3, 525294, 19560.74, 85, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 945,  7, 10,  152, 1, 3, 554447, 19560.74, 0, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation, 953, 10,  7,  152, 1, 3, 554374, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation,  72,  8,  9,  152, 1, 3, 565963, 19560.74, 176, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 151,  7, 10,  152, 1, 3, 554443, 19560.74, 0, 0.00, 1: 72; 2: 31; 3: 6; 
PC12_Cell_Differentiation, 941,  7, 10,  152, 1, 3, 554479, 19560.74, 32, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation, 964, 11,  6,  152, 1, 3, 525283, 19560.74, 128, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 167,  6, 11,  152, 1, 3, 525307, 19560.74, 0, 0.00, 1: 72; 2: 31; 3: 6; 
