Seed 1656949570
ARCH 0|F_ID 2|LIMIT 6
before: 
8
6(174)
Melhor resultado nxn: signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 569, 13, 11, 1761, 0, 6, 1146583, 70317.39, 0, 0.00, 0: 50; 1: 68; 2: 92; 3: 91; 4: 74; 5: 86; 6: 85; 
signal_transduction_in_fibroblasts, 620, 13, 11, 1761, 0, 6, 1146607, 70317.39, 85, 0.00, 0: 50; 1: 60; 2: 96; 3: 100; 4: 81; 5: 69; 6: 90; 
signal_transduction_in_fibroblasts, 961, 10, 15, 1766, 0, 6, 1200984, 70317.39, 0, 0.00, 0: 50; 1: 77; 2: 78; 3: 86; 4: 86; 5: 83; 6: 86; 
signal_transduction_in_fibroblasts, 623, 13, 11, 1766, 0, 6, 1146597, 70317.39, 0, 0.00, 0: 50; 1: 72; 2: 82; 3: 91; 4: 91; 5: 67; 6: 93; 
signal_transduction_in_fibroblasts, 284, 12, 12, 1769, 0, 6, 1151995, 70317.39, 92, 0.00, 0: 50; 1: 72; 2: 89; 3: 77; 4: 95; 5: 70; 6: 93; 
signal_transduction_in_fibroblasts, 426, 12, 12, 1769, 0, 6, 1151981, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 92; 3: 79; 4: 77; 5: 83; 6: 92; 
signal_transduction_in_fibroblasts, 702, 13, 11, 1770, 0, 6, 1146606, 70317.39, 0, 0.00, 0: 50; 1: 76; 2: 77; 3: 88; 4: 86; 5: 82; 6: 87; 
signal_transduction_in_fibroblasts, 522, 11, 13, 1772, 0, 6, 1146591, 70317.39, 0, 0.00, 0: 50; 1: 77; 2: 87; 3: 66; 4: 95; 5: 83; 6: 88; 
signal_transduction_in_fibroblasts, 136, 11, 13, 1773, 0, 6, 1146593, 70317.39, 7, 0.00, 0: 50; 1: 70; 2: 83; 3: 88; 4: 93; 5: 71; 6: 91; 
signal_transduction_in_fibroblasts, 736, 12, 12, 1774, 0, 6, 1151998, 70317.39, 24, 0.00, 0: 50; 1: 66; 2: 102; 3: 75; 4: 76; 5: 87; 6: 90; 
signal_transduction_in_fibroblasts,   3,  9, 17, 1775, 0, 6, 1222609, 70317.39, 213, 0.00, 0: 50; 1: 77; 2: 84; 3: 83; 4: 72; 5: 87; 6: 93; 
signal_transduction_in_fibroblasts, 482, 13, 11, 1775, 0, 6, 1146603, 70317.39, 0, 0.00, 0: 50; 1: 69; 2: 92; 3: 75; 4: 84; 5: 95; 6: 81; 
signal_transduction_in_fibroblasts, 300, 12, 12, 1776, 0, 6, 1152046, 70317.39, 99, 0.00, 0: 50; 1: 73; 2: 81; 3: 92; 4: 79; 5: 77; 6: 94; 
signal_transduction_in_fibroblasts, 883, 13, 11, 1776, 0, 6, 1146601, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 79; 3: 97; 4: 76; 5: 76; 6: 95; 
