Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(246)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 115,  6, 13,  128, 1, 2, 612273, 16245.83, 0, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 266,  7, 11,  134, 1, 2, 606794, 16245.83, 62, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 590,  9,  8,  134, 1, 2, 571211, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 893,  8,  9,  134, 1, 2, 571236, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 137,  7, 11,  134, 1, 2, 607207, 16245.83, 192, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 210,  6, 13,  134, 1, 2, 612165, 16245.83, 62, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 464, 10,  7,  134, 1, 2, 557645, 16245.83, 192, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 387,  6, 13,  134, 1, 2, 612429, 16245.83, 46, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 223,  7, 11,  134, 1, 2, 606576, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 939,  5, 16,  134, 1, 2, 624723, 16245.83, 108, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 377, 10,  7,  134, 1, 2, 557660, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 461, 10,  7,  134, 1, 2, 557643, 16245.83, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 126,  7, 11,  134, 1, 2, 606952, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 678,  6, 12,  134, 1, 2, 571185, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 950,  7, 11,  134, 1, 2, 606836, 16245.83, 32, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 650,  6, 13,  134, 1, 2, 612536, 16245.83, 62, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 409,  6, 12,  134, 1, 2, 571140, 16245.83, 213, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 606,  6, 12,  134, 1, 2, 571243, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 416,  5, 14,  134, 1, 2, 557665, 16245.83, 6, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 486,  9,  8,  134, 1, 2, 571141, 16245.83, 0, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes,  64,  9,  8,  134, 1, 2, 571228, 16245.83, 32, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 389,  6, 12,  134, 1, 2, 571260, 16245.83, 85, 0.00, 1: 72; 2: 31; 
HGF_Signaling_in_Keratinocytes, 171,  7, 11,  135, 1, 2, 606853, 16245.83, 70, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 130, 10,  7,  135, 1, 2, 557653, 16245.83, 61, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 529,  9,  8,  135, 1, 2, 571259, 16245.83, 188, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 777,  7, 10,  135, 1, 2, 557736, 16245.83, 188, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 804, 10,  7,  135, 1, 2, 557627, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 119,  7, 10,  135, 1, 2, 557650, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 116,  7, 10,  135, 1, 2, 557596, 16245.83, 29, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 752, 10,  7,  135, 1, 2, 557654, 16245.83, 12, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 459,  8,  9,  135, 1, 2, 571215, 16245.83, 47, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 653,  8,  9,  135, 1, 2, 571104, 16245.83, 85, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 930,  6, 13,  135, 1, 2, 612045, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 391,  7, 10,  135, 1, 2, 557635, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 625,  6, 12,  135, 1, 2, 571344, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 623,  9,  8,  135, 1, 2, 571298, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 418, 10,  7,  135, 1, 2, 557620, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 586,  8,  9,  135, 1, 2, 571293, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,  39, 10,  7,  135, 1, 2, 557618, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 735,  7, 11,  135, 1, 2, 606592, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 562,  8,  9,  135, 1, 2, 571279, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,  17,  8,  9,  135, 1, 2, 571237, 16245.83, 211, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,  16, 10,  7,  135, 1, 2, 557671, 16245.83, 192, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 515,  7, 10,  135, 1, 2, 557566, 16245.83, 47, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 991,  7, 11,  135, 1, 2, 607214, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,   5,  7, 11,  135, 1, 2, 606830, 16245.83, 127, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 520,  6, 13,  135, 1, 2, 612554, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 700, 10,  7,  135, 1, 2, 557620, 16245.83, 1, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,  77,  8,  9,  135, 1, 2, 571315, 16245.83, 85, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes,  79,  6, 12,  135, 1, 2, 571225, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 348,  8,  9,  135, 1, 2, 570997, 16245.83, 204, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 894,  9,  8,  135, 1, 2, 571238, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 675,  6, 12,  135, 1, 2, 571256, 16245.83, 0, 0.00, 1: 71; 2: 32; 
HGF_Signaling_in_Keratinocytes, 844,  6, 13,  136, 1, 2, 612051, 16245.83, 204, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 487, 10,  7,  136, 1, 2, 557586, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 263,  7, 10,  136, 1, 2, 557630, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 705,  9,  8,  136, 1, 2, 571149, 16245.83, 188, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 298,  6, 13,  136, 1, 2, 612399, 16245.83, 51, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 739,  8,  9,  136, 1, 2, 571198, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 815, 10,  7,  136, 1, 2, 557601, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 849, 10,  7,  136, 1, 2, 557606, 16245.83, 232, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 159, 10,  7,  136, 1, 2, 557649, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 264,  9,  8,  136, 1, 2, 571202, 16245.83, 176, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 856,  6, 13,  136, 1, 2, 612504, 16245.83, 56, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 681,  8,  9,  136, 1, 2, 571084, 16245.83, 67, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 473,  6, 13,  136, 1, 2, 611772, 16245.83, 213, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 370, 10,  7,  136, 1, 2, 557653, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 679,  5, 14,  136, 1, 2, 557664, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 206,  5, 15,  136, 1, 2, 592224, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 448,  5, 15,  136, 1, 2, 592026, 16245.83, 176, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 337,  7, 11,  136, 1, 2, 606791, 16245.83, 192, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 598,  6, 12,  136, 1, 2, 571340, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 215,  9,  8,  136, 1, 2, 570985, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 422, 10,  7,  136, 1, 2, 557646, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 784,  7, 10,  136, 1, 2, 557673, 16245.83, 192, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 644,  8,  9,  136, 1, 2, 571059, 16245.83, 204, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 795,  9,  8,  136, 1, 2, 571208, 16245.83, 47, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  31,  8,  9,  136, 1, 2, 571133, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 987,  9,  8,  136, 1, 2, 571239, 16245.83, 47, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  14,  7, 11,  136, 1, 2, 606754, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  71,  6, 13,  136, 1, 2, 612502, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 135, 10,  7,  136, 1, 2, 557580, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  86,  9,  8,  136, 1, 2, 571281, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 877,  6, 12,  136, 1, 2, 571198, 16245.83, 50, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 906,  8,  9,  136, 1, 2, 571185, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  62,  7, 10,  136, 1, 2, 557669, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 154,  6, 13,  136, 1, 2, 612427, 16245.83, 19, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 883,  9,  8,  136, 1, 2, 571140, 16245.83, 32, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 941,  7, 10,  136, 1, 2, 557621, 16245.83, 77, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 109,  7, 10,  136, 1, 2, 557681, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 888,  6, 13,  136, 1, 2, 612399, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 890,  9,  8,  136, 1, 2, 571226, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 960,  6, 12,  136, 1, 2, 571170, 16245.83, 192, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes,  49,  7, 10,  136, 1, 2, 557665, 16245.83, 0, 0.00, 1: 70; 2: 33; 
HGF_Signaling_in_Keratinocytes, 320,  7, 11,  137, 1, 2, 607001, 16245.83, 64, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 421,  8,  9,  137, 1, 2, 571236, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 853,  5, 16,  137, 1, 2, 624600, 16245.83, 85, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 924,  9,  8,  137, 1, 2, 571031, 16245.83, 204, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 848,  5, 14,  137, 1, 2, 557661, 16245.83, 208, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 613,  5, 14,  137, 1, 2, 557656, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 282,  9,  8,  137, 1, 2, 571196, 16245.83, 19, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 887,  6, 12,  137, 1, 2, 571285, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 702,  9,  8,  137, 1, 2, 571160, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 549,  8,  9,  137, 1, 2, 571160, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 490,  8,  9,  137, 1, 2, 571245, 16245.83, 68, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 902,  9,  8,  137, 1, 2, 571235, 16245.83, 0, 0.00, 1: 69; 2: 34; 
HGF_Signaling_in_Keratinocytes, 402,  5, 16,  137, 1, 2, 625101, 16245.83, 62, 0.00, 1: 69; 2: 34; 
