Seed 1656949570
ARCH 1|F_ID 3|LIMIT 5
before: 
23(185)
T-LGL_Survival_Network_2011, 526,  9,  7,  328, 1, 3, 499259, 81311.16, 0, 0.00, 1: 89; 2: 79; 3: 27; 
T-LGL_Survival_Network_2011,  35,  9,  7,  328, 1, 3, 499139, 81311.16, 0, 0.00, 1: 87; 2: 83; 3: 25; 
T-LGL_Survival_Network_2011,  79,  8,  8,  328, 1, 3, 506618, 81311.16, 0, 0.00, 1: 89; 2: 79; 3: 27; 
T-LGL_Survival_Network_2011, 755,  8,  8,  328, 1, 3, 506592, 81311.16, 0, 0.00, 1: 90; 2: 77; 3: 28; 
T-LGL_Survival_Network_2011, 334,  8,  8,  328, 1, 3, 506565, 81311.16, 0, 0.00, 1: 90; 2: 77; 3: 28; 
T-LGL_Survival_Network_2011, 905,  8,  8,  328, 1, 3, 506566, 81311.16, 0, 0.00, 1: 89; 2: 79; 3: 27; 
T-LGL_Survival_Network_2011, 346,  8,  8,  328, 1, 3, 506535, 81311.16, 0, 0.00, 1: 89; 2: 79; 3: 27; 
T-LGL_Survival_Network_2011, 558,  9,  7,  328, 1, 3, 499128, 81311.16, 0, 0.00, 1: 88; 2: 81; 3: 26; 
T-LGL_Survival_Network_2011, 320,  7,  9,  329, 1, 3, 499173, 81311.16, 1, 0.00, 1: 89; 2: 78; 3: 28; 
T-LGL_Survival_Network_2011, 654,  8,  8,  329, 1, 3, 506518, 81311.16, 0, 0.00, 1: 90; 2: 76; 3: 29; 
T-LGL_Survival_Network_2011, 611,  8,  8,  329, 1, 3, 506665, 81311.16, 0, 0.00, 1: 91; 2: 74; 3: 30; 
T-LGL_Survival_Network_2011, 186,  8,  8,  329, 1, 3, 506557, 81311.16, 0, 0.00, 1: 89; 2: 78; 3: 28; 
T-LGL_Survival_Network_2011, 959,  9,  7,  329, 1, 3, 499211, 81311.16, 0, 0.00, 1: 88; 2: 80; 3: 27; 
T-LGL_Survival_Network_2011, 110,  9,  7,  329, 1, 3, 498976, 81311.16, 0, 0.00, 1: 88; 2: 80; 3: 27; 
T-LGL_Survival_Network_2011, 977,  9,  7,  329, 1, 3, 499126, 81311.16, 0, 0.00, 1: 92; 2: 72; 3: 31; 
T-LGL_Survival_Network_2011, 490,  8,  8,  329, 1, 3, 506615, 81311.16, 0, 0.00, 1: 88; 2: 80; 3: 27; 
T-LGL_Survival_Network_2011, 562,  8,  8,  329, 1, 3, 506518, 81311.16, 0, 0.00, 1: 88; 2: 80; 3: 27; 
T-LGL_Survival_Network_2011, 803,  7,  9,  329, 1, 3, 499020, 81311.16, 0, 0.00, 1: 89; 2: 78; 3: 28; 
T-LGL_Survival_Network_2011, 436,  8,  8,  329, 1, 3, 506590, 81311.16, 36, 0.00, 1: 86; 2: 84; 3: 25; 
T-LGL_Survival_Network_2011, 632,  8,  8,  329, 1, 3, 506544, 81311.16, 14, 0.00, 1: 89; 2: 78; 3: 28; 
T-LGL_Survival_Network_2011, 705,  9,  7,  329, 1, 3, 499132, 81311.16, 0, 0.00, 1: 91; 2: 74; 3: 30; 
T-LGL_Survival_Network_2011, 779,  8,  8,  330, 1, 3, 506556, 81311.16, 0, 0.00, 1: 85; 2: 85; 3: 25; 
T-LGL_Survival_Network_2011, 621,  8,  8,  330, 1, 3, 506545, 81311.16, 0, 0.00, 1: 88; 2: 79; 3: 28; 
T-LGL_Survival_Network_2011, 859,  9,  7,  330, 1, 3, 499232, 81311.16, 0, 0.00, 1: 88; 2: 79; 3: 28; 
T-LGL_Survival_Network_2011, 160,  8,  8,  330, 1, 3, 506584, 81311.16, 1, 0.00, 1: 89; 2: 77; 3: 29; 
T-LGL_Survival_Network_2011, 399,  7,  9,  330, 1, 3, 499160, 81311.16, 0, 0.00, 1: 88; 2: 79; 3: 28; 
T-LGL_Survival_Network_2011, 606,  9,  7,  330, 1, 3, 499050, 81311.16, 0, 0.00, 1: 87; 2: 81; 3: 27; 
T-LGL_Survival_Network_2011, 175,  9,  7,  330, 1, 3, 499257, 81311.16, 0, 0.00, 1: 89; 2: 77; 3: 29; 
T-LGL_Survival_Network_2011, 574,  8,  8,  330, 1, 3, 506551, 81311.16, 0, 0.00, 1: 89; 2: 77; 3: 29; 
T-LGL_Survival_Network_2011, 388,  9,  7,  330, 1, 3, 499264, 81311.16, 16, 0.00, 1: 87; 2: 81; 3: 27; 
T-LGL_Survival_Network_2011, 555,  7,  9,  330, 1, 3, 499194, 81311.16, 0, 0.00, 1: 86; 2: 83; 3: 26; 
T-LGL_Survival_Network_2011, 209,  7,  9,  330, 1, 3, 499178, 81311.16, 0, 0.00, 1: 89; 2: 77; 3: 29; 
T-LGL_Survival_Network_2011, 751,  9,  7,  330, 1, 3, 499157, 81311.16, 0, 0.00, 1: 90; 2: 75; 3: 30; 
T-LGL_Survival_Network_2011, 817,  7,  9,  330, 1, 3, 499137, 81311.16, 0, 0.00, 1: 86; 2: 83; 3: 26; 
T-LGL_Survival_Network_2011, 918,  7,  9,  330, 1, 3, 499201, 81311.16, 0, 0.00, 1: 86; 2: 83; 3: 26; 
T-LGL_Survival_Network_2011, 476,  9,  7,  331, 1, 3, 499032, 81311.16, 30, 0.00, 1: 88; 2: 78; 3: 29; 
T-LGL_Survival_Network_2011, 285,  9,  7,  331, 1, 3, 499127, 81311.16, 0, 0.00, 1: 83; 2: 88; 3: 24; 
T-LGL_Survival_Network_2011,  62,  9,  7,  331, 1, 3, 499275, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011, 586,  9,  7,  331, 1, 3, 499280, 81311.16, 0, 0.00, 1: 91; 2: 72; 3: 32; 
T-LGL_Survival_Network_2011, 758,  9,  7,  331, 1, 3, 499074, 81311.16, 0, 0.00, 1: 87; 2: 80; 3: 28; 
T-LGL_Survival_Network_2011, 184,  7,  9,  331, 1, 3, 499155, 81311.16, 1, 0.00, 1: 85; 2: 84; 3: 26; 
T-LGL_Survival_Network_2011, 842,  8,  8,  331, 1, 3, 506586, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011, 235,  8,  8,  331, 1, 3, 506466, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011, 141,  7,  9,  331, 1, 3, 499202, 81311.16, 0, 0.00, 1: 85; 2: 84; 3: 26; 
T-LGL_Survival_Network_2011, 229,  8,  8,  331, 1, 3, 506589, 81311.16, 0, 0.00, 1: 84; 2: 86; 3: 25; 
T-LGL_Survival_Network_2011, 228,  7,  9,  331, 1, 3, 499101, 81311.16, 25, 0.00, 1: 88; 2: 78; 3: 29; 
T-LGL_Survival_Network_2011, 585,  8,  8,  331, 1, 3, 506480, 81311.16, 0, 0.00, 1: 87; 2: 80; 3: 28; 
T-LGL_Survival_Network_2011, 107,  9,  7,  331, 1, 3, 499122, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011, 626,  7,  9,  331, 1, 3, 499189, 81311.16, 0, 0.00, 1: 88; 2: 78; 3: 29; 
T-LGL_Survival_Network_2011, 619,  7,  9,  331, 1, 3, 499239, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011, 857,  9,  7,  331, 1, 3, 499185, 81311.16, 0, 0.00, 1: 88; 2: 78; 3: 29; 
T-LGL_Survival_Network_2011, 768,  9,  7,  331, 1, 3, 499257, 81311.16, 22, 0.00, 1: 89; 2: 76; 3: 30; 
T-LGL_Survival_Network_2011, 138,  8,  8,  331, 1, 3, 506491, 81311.16, 0, 0.00, 1: 86; 2: 82; 3: 27; 
T-LGL_Survival_Network_2011,  78,  7,  9,  331, 1, 3, 499076, 81311.16, 0, 0.00, 1: 87; 2: 80; 3: 28; 
T-LGL_Survival_Network_2011, 926,  7,  9,  332, 1, 3, 499000, 81311.16, 0, 0.00, 1: 88; 2: 77; 3: 30; 
