Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(388)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 260,  5, 13,  135, 1, 2, 504894, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,  37,  8,  7,  135, 1, 2, 443520, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network,   3,  7,  8,  135, 1, 2, 443520, 40740.76, 141, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  135, 1, 2, 492949, 40740.76, 5, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  135, 1, 2, 492806, 40740.76, 176, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 275,  7,  9,  135, 1, 2, 493006, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 276,  6, 10,  135, 1, 2, 473501, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 534,  7,  9,  135, 1, 2, 493133, 40740.76, 0, 0.00, 1: 71; 2: 32; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  136, 1, 2, 473453, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 320,  7,  9,  136, 1, 2, 492323, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  136, 1, 2, 492608, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 898,  7,  9,  136, 1, 2, 493069, 40740.76, 146, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  136, 1, 2, 443520, 40740.76, 29, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 135,  7,  9,  136, 1, 2, 492873, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 894,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 891, 10,  6,  136, 1, 2, 473441, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 467,  7,  9,  136, 1, 2, 492845, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 262, 10,  6,  136, 1, 2, 473605, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  136, 1, 2, 473577, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  136, 1, 2, 492719, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 584, 10,  6,  136, 1, 2, 473332, 40740.76, 208, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 789, 10,  6,  136, 1, 2, 473302, 40740.76, 85, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  136, 1, 2, 473205, 40740.76, 168, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 651,  7,  9,  136, 1, 2, 492082, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 211,  6, 10,  136, 1, 2, 473455, 40740.76, 227, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 203,  8,  7,  136, 1, 2, 443520, 40740.76, 227, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  136, 1, 2, 473573, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 824,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 257,  5, 13,  136, 1, 2, 504661, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 776,  7,  9,  136, 1, 2, 492567, 40740.76, 32, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 143,  6, 10,  136, 1, 2, 473305, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  136, 1, 2, 443520, 40740.76, 125, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 271,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 178, 10,  6,  136, 1, 2, 473433, 40740.76, 255, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 169,  7,  8,  136, 1, 2, 443520, 40740.76, 65, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 609,  7,  9,  136, 1, 2, 492846, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 764, 10,  6,  136, 1, 2, 473408, 40740.76, 1, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 286,  7,  9,  136, 1, 2, 493176, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 671,  7,  9,  136, 1, 2, 493043, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 161,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 605, 10,  6,  136, 1, 2, 473541, 40740.76, 85, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  136, 1, 2, 492896, 40740.76, 146, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  136, 1, 2, 473135, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  136, 1, 2, 473290, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  136, 1, 2, 443520, 40740.76, 125, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 694,  7,  8,  136, 1, 2, 443520, 40740.76, 32, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network,  83,  5, 12,  136, 1, 2, 473458, 40740.76, 227, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network,  79,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network,  76,  7,  8,  136, 1, 2, 443520, 40740.76, 125, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 375,  6, 10,  136, 1, 2, 473506, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 526,  8,  7,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 977,  8,  7,  136, 1, 2, 443520, 40740.76, 213, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 720,  7,  8,  136, 1, 2, 443520, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 547,  7,  9,  136, 1, 2, 492832, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  136, 1, 2, 473415, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  136, 1, 2, 473526, 40740.76, 146, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 967, 10,  6,  136, 1, 2, 473594, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  136, 1, 2, 473291, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 960, 10,  6,  136, 1, 2, 473488, 40740.76, 176, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 709, 10,  6,  136, 1, 2, 473580, 40740.76, 85, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 961,  6, 10,  136, 1, 2, 473548, 40740.76, 213, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 723, 10,  6,  136, 1, 2, 473357, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  136, 1, 2, 473784, 40740.76, 213, 0.00, 1: 70; 2: 33; 
