Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 527,  9,  5,   87, 1, 2, 353450, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  38,  5, 10,   87, 1, 2, 383483, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 355,  6,  8,   87, 1, 2, 371965, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 519,  6,  8,   87, 1, 2, 372468, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 956,  5, 10,   87, 1, 2, 384487, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 310,  4, 12,   87, 1, 2, 371851, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 305,  5,  9,   87, 1, 2, 353045, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 298,  5,  9,   87, 1, 2, 353152, 6927.79, 65, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 434,  6,  8,   87, 1, 2, 371913, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 433,  5, 10,   87, 1, 2, 384682, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 428,  6,  7,   87, 1, 2, 330624, 6927.79, 88, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 420,  9,  5,   87, 1, 2, 353437, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 925,  9,  5,   87, 1, 2, 353460, 6927.79, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 456,  9,  5,   87, 1, 2, 353271, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  68,  5, 10,   87, 1, 2, 383990, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 415,  5, 10,   87, 1, 2, 383810, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 470,  6,  8,   87, 1, 2, 371460, 6927.79, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 924,  7,  6,   87, 1, 2, 330624, 6927.79, 146, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 488,  7,  6,   88, 1, 2, 330624, 6927.79, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 407,  5,  9,   88, 1, 2, 353187, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 799,  7,  6,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 772,  5, 10,   88, 1, 2, 383228, 6927.79, 146, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 366,  5,  9,   88, 1, 2, 353291, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 513,  5, 10,   88, 1, 2, 384172, 6927.79, 159, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 398,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 729,  7,  6,   88, 1, 2, 330624, 6927.79, 169, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 436,  5, 10,   88, 1, 2, 383664, 6927.79, 17, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 353,  5,  9,   88, 1, 2, 353506, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 481,  5,  9,   88, 1, 2, 353327, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 792,  5, 10,   88, 1, 2, 384244, 6927.79, 168, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 252,  9,  5,   88, 1, 2, 353104, 6927.79, 255, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 605,  4, 11,   88, 1, 2, 346097, 6927.79, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 291,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 589,  6,  8,   88, 1, 2, 371650, 6927.79, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 286,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 626,  9,  5,   88, 1, 2, 353627, 6927.79, 121, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 627,  5, 10,   88, 1, 2, 384106, 6927.79, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 278,  5,  9,   88, 1, 2, 353548, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 651,  5, 10,   88, 1, 2, 384205, 6927.79, 78, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 268,  6,  8,   88, 1, 2, 372133, 6927.79, 146, 0.00, 1: 58; 2: 15; 
