Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
22(534)
Melhor resultado nxn: Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 952,  7, 12,  142, 1, 2, 658667, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 522,  6, 14,  142, 1, 2, 658876, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis,   7, 11,  7,  142, 1, 2, 613214, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 447,  8, 10,  142, 1, 2, 634198, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 257,  7, 12,  142, 1, 2, 658848, 48960.27, 184, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 212,  6, 14,  142, 1, 2, 659000, 48960.27, 252, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis,  62,  8, 10,  142, 1, 2, 634046, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 265,  9,  9,  142, 1, 2, 639403, 48960.27, 184, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 838,  9,  9,  142, 1, 2, 639189, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 441,  8, 10,  142, 1, 2, 633706, 48960.27, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 170,  8, 10,  143, 1, 2, 633950, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 666,  7, 12,  143, 1, 2, 658557, 48960.27, 90, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 150,  7, 12,  143, 1, 2, 658631, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 889,  8, 10,  143, 1, 2, 633959, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 156, 10,  8,  143, 1, 2, 634333, 48960.27, 252, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 626,  7, 11,  143, 1, 2, 613188, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 642,  7, 11,  143, 1, 2, 613020, 48960.27, 89, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 890, 10,  8,  143, 1, 2, 634215, 48960.27, 0, 0.00, 1: 81; 2: 31; 
