Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
22(268)
Melhor resultado nxn: Yeast_Apoptosis, 748,  9,  9,  145, 1, 2, 639288, 47850.29, 51, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 359,  7, 11,  152, 1, 2, 613227, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 167,  7, 11,  152, 1, 2, 613360, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 189,  8, 10,  152, 1, 2, 634113, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 668,  8, 10,  152, 1, 2, 634025, 47850.29, 92, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 350,  8, 10,  152, 1, 2, 634224, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 681,  9,  9,  152, 1, 2, 639303, 47850.29, 67, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 932, 10,  8,  152, 1, 2, 634106, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 135, 11,  7,  152, 1, 2, 613154, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 253,  8, 10,  152, 1, 2, 634291, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 288,  9,  9,  152, 1, 2, 639238, 47850.29, 18, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 292,  9,  9,  152, 1, 2, 639347, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 636,  6, 14,  152, 1, 2, 658413, 47850.29, 1, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis,  66,  9,  9,  152, 1, 2, 639213, 47850.29, 52, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 857, 11,  7,  152, 1, 2, 613038, 47850.29, 26, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 283,  6, 13,  152, 1, 2, 619602, 47850.29, 193, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 882,  7, 11,  152, 1, 2, 613419, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 605,  7, 11,  152, 1, 2, 613064, 47850.29, 85, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 308,  8, 10,  152, 1, 2, 634313, 47850.29, 55, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 641,  8, 10,  152, 1, 2, 634274, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 313,  9,  9,  152, 1, 2, 639159, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 522,  6, 14,  152, 1, 2, 658670, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 255,  6, 14,  152, 1, 2, 658592, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis,  49,  8, 10,  152, 1, 2, 633748, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 766,  7, 11,  152, 1, 2, 612939, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 892,  7, 11,  152, 1, 2, 612965, 47850.29, 0, 0.00, 1: 72; 2: 40; 
Yeast_Apoptosis, 920,  7, 12,  153, 1, 2, 658765, 47850.29, 136, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 770,  7, 12,  153, 1, 2, 658867, 47850.29, 28, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 576,  7, 12,  153, 1, 2, 658923, 47850.29, 224, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 753,  9,  9,  153, 1, 2, 638789, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 504,  7, 12,  153, 1, 2, 658699, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 874,  7, 11,  153, 1, 2, 613279, 47850.29, 121, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 686,  9,  9,  153, 1, 2, 639471, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 416,  6, 14,  153, 1, 2, 658951, 47850.29, 11, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 376, 11,  7,  153, 1, 2, 613235, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 266,  7, 11,  153, 1, 2, 613205, 47850.29, 53, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 474,  7, 11,  153, 1, 2, 613176, 47850.29, 29, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 367, 10,  8,  153, 1, 2, 634268, 47850.29, 101, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 188, 11,  7,  153, 1, 2, 613240, 47850.29, 92, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 310, 10,  8,  153, 1, 2, 634298, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 549,  9,  9,  153, 1, 2, 639253, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 792, 10,  8,  153, 1, 2, 633901, 47850.29, 8, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 353,  7, 11,  153, 1, 2, 613219, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 780,  8, 10,  153, 1, 2, 634170, 47850.29, 92, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 621,  8, 10,  153, 1, 2, 634066, 47850.29, 56, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis,  30,  7, 11,  153, 1, 2, 613013, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 661,  8, 10,  153, 1, 2, 634193, 47850.29, 85, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 994,  8, 10,  153, 1, 2, 633860, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis,  51,  8, 10,  153, 1, 2, 634176, 47850.29, 194, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 118, 11,  7,  153, 1, 2, 613192, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 600,  9,  9,  153, 1, 2, 639016, 47850.29, 72, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 690,  6, 14,  153, 1, 2, 658256, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 110,  8, 10,  153, 1, 2, 634116, 47850.29, 78, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis,  89,  9,  9,  153, 1, 2, 639201, 47850.29, 23, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis,  79,  7, 12,  153, 1, 2, 658617, 47850.29, 0, 0.00, 1: 71; 2: 41; 
Yeast_Apoptosis, 460, 11,  7,  154, 1, 2, 613274, 47850.29, 92, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 922,  7, 11,  154, 1, 2, 613221, 47850.29, 29, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis,  83,  9,  9,  154, 1, 2, 638900, 47850.29, 193, 0.00, 1: 70; 2: 42; 
