Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 975,  9,  7,  467, 0, 6, 499186, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 42; 3: 40; 4: 28; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 619,  7,  9,  467, 0, 6, 499191, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 44; 3: 37; 4: 24; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011,  87,  7,  9,  467, 0, 6, 499202, 26569.10, 0, 0.00, 0: 5; 1: 58; 2: 55; 3: 34; 4: 21; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011,  79,  8,  8,  467, 0, 6, 506514, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 41; 3: 39; 4: 21; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011,  36,  8,  8,  467, 0, 6, 506533, 26569.10, 53, 0.00, 0: 5; 1: 63; 2: 44; 3: 39; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 214,  8,  8,  467, 0, 6, 506501, 26569.10, 0, 0.00, 0: 5; 1: 67; 2: 40; 3: 36; 4: 26; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 648,  8,  8,  467, 0, 6, 506516, 26569.10, 15, 0.00, 0: 5; 1: 63; 2: 50; 3: 29; 4: 26; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011,  76,  8,  8,  467, 0, 6, 506515, 26569.10, 3, 0.00, 0: 5; 1: 62; 2: 46; 3: 38; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 319,  8,  8,  468, 0, 6, 506500, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 47; 3: 32; 4: 28; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 118,  8,  8,  468, 0, 6, 506530, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 44; 3: 35; 4: 23; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 754,  8,  8,  468, 0, 6, 506492, 26569.10, 0, 0.00, 0: 5; 1: 67; 2: 41; 3: 37; 4: 20; 5: 22; 6: 3; 
T-LGL_Survival_Network_2011, 501,  8,  8,  468, 0, 6, 506510, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 42; 3: 37; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011,  93,  9,  7,  468, 0, 6, 499167, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 40; 3: 37; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 834,  8,  8,  468, 0, 6, 506525, 26569.10, 0, 0.00, 0: 5; 1: 55; 2: 56; 3: 37; 4: 23; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 361,  8,  8,  468, 0, 6, 506528, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 44; 3: 33; 4: 27; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 121,  8,  8,  468, 0, 6, 506496, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 49; 3: 33; 4: 24; 5: 19; 6: 3; 
