Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
582(475)
Melhor resultado nxn: PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 459,  6, 11,  147, 1, 2, 525332, 42822.98, 117, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 457,  7, 10,  147, 1, 2, 554482, 42822.98, 54, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 312,  6, 11,  147, 1, 2, 525235, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 448,  7, 10,  147, 1, 2, 554764, 42822.98, 176, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 447,  7, 10,  147, 1, 2, 554485, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 430,  8,  9,  147, 1, 2, 566109, 42822.98, 50, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 339,  8,  9,  147, 1, 2, 566473, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 303,  6, 11,  147, 1, 2, 525268, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 347, 10,  7,  147, 1, 2, 554412, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 399,  8,  9,  147, 1, 2, 566195, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 396,  6, 12,  147, 1, 2, 566148, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 386,  6, 12,  147, 1, 2, 566153, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 378,  8,  9,  147, 1, 2, 565817, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 359,  8,  9,  147, 1, 2, 566051, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 360,  6, 12,  147, 1, 2, 566515, 42822.98, 32, 0.00, 1: 71; 2: 38; 
