Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
384(995)
Melhor resultado nxn: PC12_Cell_Differentiation,   7,  8,  8,  203, 1, 4, 508032, 43469.13, 0, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 455,  6, 11,  205, 1, 4, 525255, 43469.13, 0, 0.00, 1: 45; 2: 36; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 454, 10,  7,  205, 1, 4, 554275, 43469.13, 0, 0.00, 1: 43; 2: 40; 3: 22; 4: 4; 
PC12_Cell_Differentiation,  12,  6, 11,  205, 1, 4, 525278, 43469.13, 74, 0.00, 1: 48; 2: 30; 3: 27; 4: 4; 
PC12_Cell_Differentiation, 997,  8,  9,  205, 1, 4, 566240, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 501,  8,  8,  205, 1, 4, 508032, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 957,  7, 10,  205, 1, 4, 554397, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 792,  8,  8,  205, 1, 4, 508032, 43469.13, 120, 0.00, 1: 44; 2: 40; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 955, 10,  7,  205, 1, 4, 554363, 43469.13, 0, 0.00, 1: 42; 2: 40; 3: 25; 4: 2; 
PC12_Cell_Differentiation, 737,  8,  9,  206, 1, 4, 566249, 43469.13, 0, 0.00, 1: 42; 2: 42; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 995,  6, 12,  206, 1, 4, 566249, 43469.13, 0, 0.00, 1: 43; 2: 39; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 657,  6, 11,  206, 1, 4, 525286, 43469.13, 0, 0.00, 1: 41; 2: 42; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 470, 10,  7,  206, 1, 4, 554360, 43469.13, 0, 0.00, 1: 43; 2: 38; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 929,  7, 10,  206, 1, 4, 554424, 43469.13, 0, 0.00, 1: 43; 2: 38; 3: 25; 4: 3; 
PC12_Cell_Differentiation, 467,  8,  9,  206, 1, 4, 566274, 43469.13, 37, 0.00, 1: 40; 2: 46; 3: 18; 4: 5; 
PC12_Cell_Differentiation, 594, 11,  6,  206, 1, 4, 525296, 43469.13, 176, 0.00, 1: 42; 2: 41; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 866, 10,  7,  206, 1, 4, 554405, 43469.13, 0, 0.00, 1: 40; 2: 44; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 619,  8,  9,  206, 1, 4, 566267, 43469.13, 71, 0.00, 1: 43; 2: 41; 3: 19; 4: 6; 
PC12_Cell_Differentiation,  49,  6, 12,  206, 1, 4, 566237, 43469.13, 0, 0.00, 1: 42; 2: 40; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 626,  8,  9,  206, 1, 4, 566240, 43469.13, 0, 0.00, 1: 41; 2: 42; 3: 23; 4: 3; 
PC12_Cell_Differentiation, 507, 10,  7,  206, 1, 4, 554348, 43469.13, 0, 0.00, 1: 41; 2: 44; 3: 19; 4: 5; 
PC12_Cell_Differentiation, 315,  6, 11,  206, 1, 4, 525283, 43469.13, 0, 0.00, 1: 45; 2: 36; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 810, 11,  6,  206, 1, 4, 525288, 43469.13, 82, 0.00, 1: 46; 2: 35; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 999,  7, 10,  206, 1, 4, 554326, 43469.13, 0, 0.00, 1: 39; 2: 45; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 172,  7, 10,  206, 1, 4, 554411, 43469.13, 32, 0.00, 1: 44; 2: 38; 3: 22; 4: 5; 
