Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
3(209)
Apoptosis_network,   2,  7,  6,  117, 1, 3, 330624, 7240.49, 191, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 452,  5, 10,  117, 1, 3, 383981, 7240.49, 129, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 590,  7,  6,  117, 1, 3, 330624, 7240.49, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 131,  5, 10,  117, 1, 3, 383955, 7240.49, 96, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 491,  6,  8,  117, 1, 3, 372028, 7240.49, 115, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 490,  6,  7,  117, 1, 3, 330624, 7240.49, 97, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 382,  6,  8,  117, 1, 3, 372036, 7240.49, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network,  17,  6,  7,  117, 1, 3, 330624, 7240.49, 150, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 331,  7,  6,  117, 1, 3, 330624, 7240.49, 96, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 315,  9,  5,  117, 1, 3, 353331, 7240.49, 0, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 253,  7,  6,  117, 1, 3, 330624, 7240.49, 0, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 918,  6,  8,  117, 1, 3, 371882, 7240.49, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 297,  6,  8,  117, 1, 3, 371781, 7240.49, 66, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 356,  7,  6,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 555,  7,  6,  118, 1, 3, 330624, 7240.49, 115, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 569,  6,  7,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 160,  5, 10,  118, 1, 3, 383783, 7240.49, 5, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 157,  9,  5,  118, 1, 3, 353265, 7240.49, 85, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 582,  5,  9,  118, 1, 3, 353244, 7240.49, 0, 0.00, 1: 33; 2: 35; 3: 5; 
Apoptosis_network, 873,  4, 11,  118, 1, 3, 346132, 7240.49, 67, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 129,  5, 10,  118, 1, 3, 384364, 7240.49, 65, 0.00, 1: 39; 2: 23; 3: 11; 
Apoptosis_network,  72,  9,  5,  118, 1, 3, 353282, 7240.49, 80, 0.00, 1: 40; 2: 21; 3: 12; 
Apoptosis_network, 343,  6,  7,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 727,  6,  8,  118, 1, 3, 371932, 7240.49, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 916,  6,  7,  118, 1, 3, 330624, 7240.49, 129, 0.00, 1: 40; 2: 21; 3: 12; 
Apoptosis_network, 381,  7,  6,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 230,  7,  6,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 40; 2: 21; 3: 12; 
Apoptosis_network, 273,  6,  8,  118, 1, 3, 372017, 7240.49, 193, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 451,  9,  5,  118, 1, 3, 353164, 7240.49, 96, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 221,  7,  6,  118, 1, 3, 330624, 7240.49, 85, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 509,  5,  9,  118, 1, 3, 353261, 7240.49, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 218,  9,  5,  118, 1, 3, 353290, 7240.49, 185, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 183,  7,  6,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 206,  6,  7,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 32; 2: 37; 3: 4; 
Apoptosis_network,  28,  6,  8,  118, 1, 3, 371806, 7240.49, 129, 0.00, 1: 39; 2: 23; 3: 11; 
Apoptosis_network,  29,  6,  8,  118, 1, 3, 371813, 7240.49, 85, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 284,  9,  5,  118, 1, 3, 353277, 7240.49, 129, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 712,  6,  7,  118, 1, 3, 330624, 7240.49, 64, 0.00, 1: 34; 2: 33; 3: 6; 
Apoptosis_network, 197,  7,  6,  118, 1, 3, 330624, 7240.49, 85, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 531,  6,  7,  118, 1, 3, 330624, 7240.49, 96, 0.00, 1: 39; 2: 23; 3: 11; 
Apoptosis_network, 537,  6,  8,  118, 1, 3, 371889, 7240.49, 152, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 963,  5,  9,  118, 1, 3, 353204, 7240.49, 96, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 778,  6,  7,  118, 1, 3, 330624, 7240.49, 185, 0.00, 1: 40; 2: 21; 3: 12; 
Apoptosis_network, 620,  5, 10,  118, 1, 3, 383912, 7240.49, 51, 0.00, 1: 33; 2: 35; 3: 5; 
Apoptosis_network, 121,  5,  9,  118, 1, 3, 353258, 7240.49, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 685,  7,  6,  118, 1, 3, 330624, 7240.49, 32, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 319,  5,  9,  118, 1, 3, 353193, 7240.49, 0, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 105,  9,  5,  118, 1, 3, 353272, 7240.49, 65, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 399,  7,  6,  118, 1, 3, 330624, 7240.49, 0, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 396,  5, 10,  118, 1, 3, 383631, 7240.49, 129, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 786,  6,  7,  118, 1, 3, 330624, 7240.49, 185, 0.00, 1: 35; 2: 31; 3: 7; 
Apoptosis_network, 667,  6,  8,  118, 1, 3, 372046, 7240.49, 96, 0.00, 1: 38; 2: 25; 3: 10; 
Apoptosis_network, 350,  5, 10,  118, 1, 3, 384116, 7240.49, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network, 979,  5,  9,  118, 1, 3, 353262, 7240.49, 96, 0.00, 1: 37; 2: 27; 3: 9; 
Apoptosis_network, 391,  6,  8,  118, 1, 3, 371856, 7240.49, 0, 0.00, 1: 36; 2: 29; 3: 8; 
Apoptosis_network,  10,  9,  5,  119, 1, 3, 353126, 7240.49, 191, 0.00, 1: 36; 2: 28; 3: 9; 
Apoptosis_network, 857,  5,  9,  119, 1, 3, 353170, 7240.49, 153, 0.00, 1: 34; 2: 32; 3: 7; 
Apoptosis_network, 169,  5,  9,  119, 1, 3, 353201, 7240.49, 65, 0.00, 1: 37; 2: 26; 3: 10; 
Apoptosis_network, 242,  7,  6,  119, 1, 3, 330624, 7240.49, 0, 0.00, 1: 35; 2: 30; 3: 8; 
Apoptosis_network, 738,  5,  9,  119, 1, 3, 353330, 7240.49, 0, 0.00, 1: 35; 2: 30; 3: 8; 
Apoptosis_network, 551,  9,  5,  119, 1, 3, 353286, 7240.49, 0, 0.00, 1: 37; 2: 26; 3: 10; 
Apoptosis_network, 292,  6,  7,  119, 1, 3, 330624, 7240.49, 0, 0.00, 1: 36; 2: 28; 3: 9; 
Apoptosis_network, 629,  7,  6,  119, 1, 3, 330624, 7240.49, 0, 0.00, 1: 38; 2: 24; 3: 11; 
Apoptosis_network, 104,  6,  7,  119, 1, 3, 330624, 7240.49, 32, 0.00, 1: 35; 2: 30; 3: 8; 
Apoptosis_network,  57,  5, 10,  119, 1, 3, 384021, 7240.49, 0, 0.00, 1: 36; 2: 28; 3: 9; 
Apoptosis_network, 342,  7,  6,  119, 1, 3, 330624, 7240.49, 0, 0.00, 1: 33; 2: 34; 3: 6; 
Apoptosis_network, 213,  6,  7,  119, 1, 3, 330624, 7240.49, 85, 0.00, 1: 36; 2: 28; 3: 9; 
Apoptosis_network, 422,  5,  9,  119, 1, 3, 353204, 7240.49, 0, 0.00, 1: 36; 2: 28; 3: 9; 
Apoptosis_network, 695,  6,  8,  119, 1, 3, 371907, 7240.49, 0, 0.00, 1: 38; 2: 24; 3: 11; 
Apoptosis_network, 125,  5,  9,  119, 1, 3, 353234, 7240.49, 0, 0.00, 1: 37; 2: 26; 3: 10; 
Apoptosis_network, 220,  5,  9,  120, 1, 3, 353306, 7240.49, 129, 0.00, 1: 35; 2: 29; 3: 9; 
Apoptosis_network, 190,  7,  6,  120, 1, 3, 330624, 7240.49, 0, 0.00, 1: 35; 2: 29; 3: 9; 
Apoptosis_network, 944,  7,  6,  120, 1, 3, 330624, 7240.49, 12, 0.00, 1: 39; 2: 21; 3: 13; 
Apoptosis_network, 866,  7,  6,  120, 1, 3, 330624, 7240.49, 0, 0.00, 1: 37; 2: 25; 3: 11; 
Apoptosis_network, 820,  6,  7,  120, 1, 3, 330624, 7240.49, 8, 0.00, 1: 32; 2: 35; 3: 6; 
Apoptosis_network, 876,  6,  7,  120, 1, 3, 330624, 7240.49, 57, 0.00, 1: 36; 2: 27; 3: 10; 
Apoptosis_network, 295,  6,  8,  120, 1, 3, 371814, 7240.49, 0, 0.00, 1: 33; 2: 33; 3: 7; 
Apoptosis_network, 859,  9,  5,  120, 1, 3, 353294, 7240.49, 96, 0.00, 1: 35; 2: 29; 3: 9; 
Apoptosis_network, 347,  7,  6,  120, 1, 3, 330624, 7240.49, 96, 0.00, 1: 34; 2: 31; 3: 8; 
Apoptosis_network, 931,  6,  8,  120, 1, 3, 371923, 7240.49, 0, 0.00, 1: 36; 2: 27; 3: 10; 
Apoptosis_network, 375,  6,  7,  120, 1, 3, 330624, 7240.49, 0, 0.00, 1: 33; 2: 33; 3: 7; 
Apoptosis_network, 717,  5, 10,  120, 1, 3, 384113, 7240.49, 85, 0.00, 1: 36; 2: 27; 3: 10; 
Apoptosis_network, 878,  4, 11,  120, 1, 3, 346150, 7240.49, 0, 0.00, 1: 38; 2: 23; 3: 12; 
Apoptosis_network,  14,  4, 11,  120, 1, 3, 346081, 7240.49, 0, 0.00, 1: 37; 2: 25; 3: 11; 
Apoptosis_network, 152,  6,  7,  120, 1, 3, 330624, 7240.49, 40, 0.00, 1: 35; 2: 29; 3: 9; 
Apoptosis_network, 403,  7,  6,  120, 1, 3, 330624, 7240.49, 96, 0.00, 1: 33; 2: 33; 3: 7; 
Apoptosis_network, 254,  6,  7,  120, 1, 3, 330624, 7240.49, 0, 0.00, 1: 37; 2: 25; 3: 11; 
Apoptosis_network, 739,  5,  9,  120, 1, 3, 353034, 7240.49, 0, 0.00, 1: 34; 2: 31; 3: 8; 
Apoptosis_network, 294,  4, 12,  121, 1, 3, 372044, 7240.49, 0, 0.00, 1: 36; 2: 26; 3: 11; 
Apoptosis_network, 721,  6,  7,  121, 1, 3, 330624, 7240.49, 145, 0.00, 1: 33; 2: 32; 3: 8; 
Apoptosis_network, 762,  6,  7,  121, 1, 3, 330624, 7240.49, 0, 0.00, 1: 36; 2: 26; 3: 11; 
Apoptosis_network,  21,  4, 12,  121, 1, 3, 371936, 7240.49, 85, 0.00, 1: 36; 2: 26; 3: 11; 
Apoptosis_network, 236,  9,  5,  121, 1, 3, 353333, 7240.49, 102, 0.00, 1: 35; 2: 28; 3: 10; 
Apoptosis_network, 591,  5, 10,  121, 1, 3, 384107, 7240.49, 0, 0.00, 1: 34; 2: 30; 3: 9; 
Apoptosis_network, 961,  6,  7,  121, 1, 3, 330624, 7240.49, 146, 0.00, 1: 35; 2: 28; 3: 10; 
Apoptosis_network, 512,  9,  5,  121, 1, 3, 352745, 7240.49, 224, 0.00, 1: 34; 2: 30; 3: 9; 
Apoptosis_network, 718,  7,  6,  121, 1, 3, 330624, 7240.49, 0, 0.00, 1: 36; 2: 26; 3: 11; 
Apoptosis_network, 627,  5, 10,  121, 1, 3, 384128, 7240.49, 32, 0.00, 1: 35; 2: 28; 3: 10; 
Apoptosis_network, 428,  6,  7,  121, 1, 3, 330624, 7240.49, 88, 0.00, 1: 37; 2: 24; 3: 12; 
Apoptosis_network, 628,  7,  6,  121, 1, 3, 330624, 7240.49, 0, 0.00, 1: 33; 2: 32; 3: 8; 
Apoptosis_network, 479,  4, 11,  121, 1, 3, 346149, 7240.49, 0, 0.00, 1: 33; 2: 32; 3: 8; 
Apoptosis_network, 651,  5, 10,  122, 1, 3, 384020, 7240.49, 96, 0.00, 1: 34; 2: 29; 3: 10; 
Apoptosis_network, 789,  5,  9,  122, 1, 3, 353163, 7240.49, 85, 0.00, 1: 32; 2: 33; 3: 8; 
Apoptosis_network, 421,  5,  9,  122, 1, 3, 353310, 7240.49, 0, 0.00, 1: 36; 2: 25; 3: 12; 
Apoptosis_network, 187,  6,  8,  122, 1, 3, 371971, 7240.49, 0, 0.00, 1: 32; 2: 33; 3: 8; 
Apoptosis_network,  85,  6,  7,  122, 1, 3, 330624, 7240.49, 85, 0.00, 1: 33; 2: 31; 3: 9; 
Apoptosis_network, 312,  4, 12,  122, 1, 3, 371990, 7240.49, 0, 0.00, 1: 39; 2: 19; 3: 15; 
Apoptosis_network, 128,  4, 12,  122, 1, 3, 372158, 7240.49, 144, 0.00, 1: 35; 2: 27; 3: 11; 
Apoptosis_network, 306,  5,  9,  122, 1, 3, 353263, 7240.49, 0, 0.00, 1: 33; 2: 31; 3: 9; 
Apoptosis_network, 623,  7,  6,  122, 1, 3, 330624, 7240.49, 117, 0.00, 1: 31; 2: 35; 3: 7; 
Apoptosis_network, 949,  6,  7,  122, 1, 3, 330624, 7240.49, 0, 0.00, 1: 32; 2: 33; 3: 8; 
Apoptosis_network, 903,  7,  6,  122, 1, 3, 330624, 7240.49, 0, 0.00, 1: 35; 2: 27; 3: 11; 
Apoptosis_network, 265,  6,  7,  122, 1, 3, 330624, 7240.49, 193, 0.00, 1: 34; 2: 29; 3: 10; 
Apoptosis_network, 798,  6,  7,  123, 1, 3, 330624, 7240.49, 0, 0.00, 1: 32; 2: 32; 3: 9; 
Apoptosis_network, 773,  7,  6,  123, 1, 3, 330624, 7240.49, 85, 0.00, 1: 29; 2: 38; 3: 6; 
Apoptosis_network, 226,  5,  9,  123, 1, 3, 353252, 7240.49, 0, 0.00, 1: 34; 2: 28; 3: 11; 
Apoptosis_network, 337,  6,  7,  123, 1, 3, 330624, 7240.49, 142, 0.00, 1: 33; 2: 30; 3: 10; 
Apoptosis_network,  87,  6,  7,  123, 1, 3, 330624, 7240.49, 0, 0.00, 1: 32; 2: 32; 3: 9; 
Apoptosis_network, 137,  6,  7,  125, 1, 3, 330624, 7240.49, 65, 0.00, 1: 30; 2: 34; 3: 9; 
Apoptosis_network, 476,  4, 11,  126, 1, 3, 346043, 7240.49, 129, 0.00, 1: 29; 2: 35; 3: 9; 
Apoptosis_network, 965,  5,  9,  128, 1, 3, 353240, 7240.49, 85, 0.00, 1: 32; 2: 27; 3: 14; 
Apoptosis_network, 877,  4, 12,  129, 1, 3, 371699, 7240.49, 32, 0.00, 1: 31; 2: 28; 3: 14; 
