Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(500)
Melhor resultado nxn: Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 221,  7,  6,   94, 1, 2, 330624, 7753.06, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 669,  5, 10,   94, 1, 2, 384196, 7753.06, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 676,  5, 10,   94, 1, 2, 384011, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 697,  5,  9,   94, 1, 2, 353067, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 214,  6,  7,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 742,  5, 10,   94, 1, 2, 383659, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 209,  9,  5,   94, 1, 2, 353272, 7753.06, 244, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 383,  5, 10,   94, 1, 2, 383655, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 299,  7,  6,   94, 1, 2, 330624, 7753.06, 68, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 690,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 688,  9,  5,   94, 1, 2, 353174, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 438,  5,  9,   94, 1, 2, 353272, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 448,  9,  5,   94, 1, 2, 353312, 7753.06, 240, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 296,  5, 10,   94, 1, 2, 383833, 7753.06, 32, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 602,  6,  8,   94, 1, 2, 371982, 7753.06, 210, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 392,  4, 11,   94, 1, 2, 346104, 7753.06, 64, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 455,  5, 10,   94, 1, 2, 384272, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 648,  9,  5,   94, 1, 2, 353308, 7753.06, 64, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 457,  6,  8,   94, 1, 2, 372012, 7753.06, 175, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 597,  5,  9,   94, 1, 2, 353129, 7753.06, 85, 0.00, 1: 52; 2: 21; 
