Seed 1656949570
ARCH 1|F_ID 1|LIMIT 6
before: 
35(214)
macrophave_activation, 683, 16, 21,  938, 1, 5, 2696374, 63487.21, 138, 0.00, 1: 238; 2: 188; 3: 59; 4: 33; 5: 3; 
macrophave_activation, 789, 12, 29,  940, 1, 5, 2821014, 63487.21, 0, 0.00, 1: 238; 2: 187; 3: 65; 4: 22; 5: 9; 
macrophave_activation,  58, 11, 30,  941, 1, 5, 2658115, 63487.21, 26, 0.00, 1: 231; 2: 200; 3: 59; 4: 22; 5: 9; 
macrophave_activation, 936, 14, 24,  941, 1, 5, 2696422, 63487.21, 192, 0.00, 1: 237; 2: 184; 3: 68; 4: 28; 5: 4; 
macrophave_activation, 764, 17, 19,  941, 1, 5, 2600094, 63487.21, 172, 0.00, 1: 230; 2: 199; 3: 60; 4: 27; 5: 5; 
macrophave_activation, 293, 18, 18,  941, 1, 5, 2616193, 63487.21, 0, 0.00, 1: 230; 2: 194; 3: 67; 4: 28; 5: 2; 
macrophave_activation, 244, 21, 16,  941, 1, 5, 2696201, 63487.21, 0, 0.00, 1: 231; 2: 193; 3: 68; 4: 25; 5: 4; 
macrophave_activation,  18, 21, 16,  941, 1, 5, 2696215, 63487.21, 26, 0.00, 1: 235; 2: 191; 3: 61; 4: 29; 5: 5; 
macrophave_activation, 363, 16, 21,  942, 1, 5, 2696499, 63487.21, 138, 0.00, 1: 242; 2: 175; 3: 69; 4: 32; 5: 3; 
macrophave_activation, 255, 17, 19,  942, 1, 5, 2600110, 63487.21, 0, 0.00, 1: 231; 2: 198; 3: 57; 4: 31; 5: 4; 
macrophave_activation, 226, 21, 16,  942, 1, 5, 2696253, 63487.21, 0, 0.00, 1: 244; 2: 176; 3: 64; 4: 31; 5: 6; 
macrophave_activation, 787, 17, 19,  943, 1, 5, 2600094, 63487.21, 0, 0.00, 1: 232; 2: 190; 3: 69; 4: 26; 5: 4; 
macrophave_activation, 344, 14, 24,  943, 1, 5, 2696290, 63487.21, 32, 0.00, 1: 236; 2: 192; 3: 56; 4: 30; 5: 7; 
macrophave_activation, 257, 17, 20,  943, 1, 5, 2758032, 63487.21, 0, 0.00, 1: 236; 2: 188; 3: 63; 4: 28; 5: 6; 
macrophave_activation, 820, 13, 26,  943, 1, 5, 2727179, 63487.21, 0, 0.00, 1: 233; 2: 192; 3: 64; 4: 26; 5: 6; 
macrophave_activation, 888, 14, 24,  943, 1, 5, 2696441, 63487.21, 96, 0.00, 1: 224; 2: 209; 3: 56; 4: 27; 5: 5; 
macrophave_activation, 398, 13, 25,  944, 1, 5, 2632202, 63487.21, 0, 0.00, 1: 235; 2: 186; 3: 69; 4: 25; 5: 6; 
macrophave_activation, 891, 17, 19,  944, 1, 5, 2600109, 63487.21, 138, 0.00, 1: 232; 2: 189; 3: 67; 4: 32; 5: 1; 
macrophave_activation, 557, 15, 22,  944, 1, 5, 2658167, 63487.21, 85, 0.00, 1: 245; 2: 175; 3: 60; 4: 36; 5: 5; 
macrophave_activation, 979, 19, 17,  944, 1, 5, 2600103, 63487.21, 0, 0.00, 1: 237; 2: 185; 3: 64; 4: 30; 5: 5; 
macrophave_activation, 956, 21, 16,  945, 1, 5, 2696366, 63487.21, 172, 0.00, 1: 228; 2: 199; 3: 63; 4: 25; 5: 6; 
macrophave_activation, 621, 19, 17,  945, 1, 5, 2600105, 63487.21, 85, 0.00, 1: 240; 2: 183; 3: 61; 4: 29; 5: 8; 
macrophave_activation, 169, 14, 23,  945, 1, 5, 2635731, 63487.21, 198, 0.00, 1: 219; 2: 214; 3: 59; 4: 24; 5: 5; 
macrophave_activation, 412, 18, 18,  945, 1, 5, 2616162, 63487.21, 172, 0.00, 1: 237; 2: 182; 3: 66; 4: 34; 5: 2; 
macrophave_activation, 391, 17, 20,  946, 1, 5, 2758059, 63487.21, 0, 0.00, 1: 231; 2: 195; 3: 59; 4: 32; 5: 4; 
macrophave_activation, 886, 16, 21,  946, 1, 5, 2696322, 63487.21, 0, 0.00, 1: 239; 2: 184; 3: 61; 4: 29; 5: 8; 
macrophave_activation, 156, 17, 20,  946, 1, 5, 2757963, 63487.21, 172, 0.00, 1: 232; 2: 193; 3: 59; 4: 34; 5: 3; 
macrophave_activation, 411, 15, 22,  946, 1, 5, 2658165, 63487.21, 138, 0.00, 1: 225; 2: 206; 3: 56; 4: 29; 5: 5; 
macrophave_activation, 993, 21, 16,  946, 1, 5, 2696113, 63487.21, 1, 0.00, 1: 239; 2: 185; 3: 60; 4: 28; 5: 9; 
macrophave_activation, 450, 16, 21,  946, 1, 5, 2696239, 63487.21, 0, 0.00, 1: 239; 2: 184; 3: 62; 4: 27; 5: 9; 
macrophave_activation, 826, 19, 17,  947, 1, 5, 2600103, 63487.21, 26, 0.00, 1: 227; 2: 208; 3: 46; 4: 34; 5: 6; 
macrophave_activation,  64, 17, 20,  947, 1, 5, 2758044, 63487.21, 211, 0.00, 1: 225; 2: 197; 3: 71; 4: 25; 5: 3; 
macrophave_activation, 131, 11, 32,  947, 1, 5, 2820341, 63487.21, 0, 0.00, 1: 226; 2: 210; 3: 50; 4: 24; 5: 11; 
macrophave_activation, 357, 21, 16,  947, 1, 5, 2696180, 63487.21, 0, 0.00, 1: 243; 2: 175; 3: 67; 4: 27; 5: 9; 
macrophave_activation, 181, 14, 24,  948, 1, 5, 2696506, 63487.21, 0, 0.00, 1: 230; 2: 190; 3: 72; 4: 23; 5: 6; 
macrophave_activation, 114, 17, 20,  948, 1, 5, 2757666, 63487.21, 0, 0.00, 1: 235; 2: 191; 3: 56; 4: 32; 5: 7; 
macrophave_activation, 518, 16, 21,  948, 1, 5, 2696441, 63487.21, 0, 0.00, 1: 236; 2: 190; 3: 57; 4: 29; 5: 9; 
