Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 233,  6, 13,  143, 1, 2, 619561, 14433.87, 65, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 953, 10,  8,  143, 1, 2, 634019, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  23,  9,  9,  143, 1, 2, 639213, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 195,  9,  9,  143, 1, 2, 639255, 14433.87, 31, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 378,  7, 12,  143, 1, 2, 658905, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 570,  9,  9,  143, 1, 2, 639322, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  28,  7, 12,  143, 1, 2, 658822, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 453, 10,  8,  143, 1, 2, 634188, 14433.87, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 869,  6, 14,  143, 1, 2, 658376, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 151,  9,  9,  143, 1, 2, 639242, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 498,  8, 10,  143, 1, 2, 634243, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 896, 10,  8,  143, 1, 2, 634059, 14433.87, 160, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 772, 10,  8,  143, 1, 2, 634111, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 237,  7, 12,  143, 1, 2, 658393, 14433.87, 105, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 285,  7, 12,  143, 1, 2, 658612, 14433.87, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 166,  9,  9,  143, 1, 2, 639052, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 154,  6, 13,  143, 1, 2, 619435, 14433.87, 187, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 275, 11,  7,  143, 1, 2, 613273, 14433.87, 30, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 980,  6, 13,  143, 1, 2, 619722, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 814,  7, 12,  143, 1, 2, 658691, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,   6,  9,  9,  143, 1, 2, 639390, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 807,  9,  9,  143, 1, 2, 639101, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 412,  6, 13,  143, 1, 2, 619554, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 152,  6, 13,  143, 1, 2, 619407, 14433.87, 64, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 855,  7, 12,  143, 1, 2, 659225, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 653,  9,  9,  143, 1, 2, 639219, 14433.87, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 621,  8, 10,  143, 1, 2, 634262, 14433.87, 56, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  69,  6, 14,  143, 1, 2, 658505, 14433.87, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 608,  7, 12,  143, 1, 2, 658939, 14433.87, 7, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 970,  6, 13,  143, 1, 2, 619464, 14433.87, 163, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  47,  7, 11,  143, 1, 2, 613195, 14433.87, 84, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 370, 11,  7,  143, 1, 2, 613209, 14433.87, 110, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  66,  9,  9,  143, 1, 2, 639124, 14433.87, 187, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 325,  6, 14,  143, 1, 2, 659148, 14433.87, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 971,  6, 13,  143, 1, 2, 619602, 14433.87, 31, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 604,  9,  9,  143, 1, 2, 639212, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 916,  9,  9,  143, 1, 2, 639411, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 923, 10,  8,  143, 1, 2, 634039, 14433.87, 31, 0.00, 1: 81; 2: 31; 
