Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 227,  5, 14,  147, 1, 2, 554258, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 918,  8,  9,  147, 1, 2, 566486, 15314.41, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 469,  7, 10,  147, 1, 2, 554615, 15314.41, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  44,  6, 12,  147, 1, 2, 566246, 15314.41, 32, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 493,  8,  9,  147, 1, 2, 566003, 15314.41, 32, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 213,  5, 14,  147, 1, 2, 554290, 15314.41, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 197,  6, 12,  147, 1, 2, 566253, 15314.41, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 667, 11,  6,  148, 1, 2, 525289, 15314.41, 235, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 194,  6, 12,  148, 1, 2, 566419, 15314.41, 78, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 204, 11,  6,  148, 1, 2, 525276, 15314.41, 176, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 136, 10,  7,  148, 1, 2, 554302, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 135,  8,  9,  148, 1, 2, 566359, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 359,  8,  9,  148, 1, 2, 566054, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 554,  6, 12,  148, 1, 2, 566245, 15314.41, 97, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 675,  8,  9,  148, 1, 2, 566153, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 686,  8,  9,  148, 1, 2, 566136, 15314.41, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 336,  6, 11,  148, 1, 2, 525296, 15314.41, 96, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 278,  6, 12,  148, 1, 2, 566259, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 553,  7, 10,  148, 1, 2, 554368, 15314.41, 67, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 312,  6, 11,  148, 1, 2, 525219, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 300,  6, 12,  148, 1, 2, 566410, 15314.41, 50, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 299, 10,  7,  148, 1, 2, 554675, 15314.41, 71, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 663,  8,  8,  148, 1, 2, 508032, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 654,  8,  8,  148, 1, 2, 508032, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 488,  5, 13,  148, 1, 2, 515840, 15314.41, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 368,  6, 12,  148, 1, 2, 566339, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 646,  5, 14,  148, 1, 2, 554405, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 560,  8,  9,  148, 1, 2, 566405, 15314.41, 21, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 645,  8,  9,  148, 1, 2, 566193, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 515,  8,  9,  148, 1, 2, 566332, 15314.41, 235, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 568,  5, 13,  148, 1, 2, 515840, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 212,  6, 11,  148, 1, 2, 525294, 15314.41, 176, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 234,  8,  8,  148, 1, 2, 508032, 15314.41, 84, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 157,  7, 10,  148, 1, 2, 554360, 15314.41, 85, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 228,  8,  9,  148, 1, 2, 566117, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 448,  7, 10,  148, 1, 2, 554497, 15314.41, 176, 0.00, 1: 70; 2: 39; 
