Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
402(141)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 343,  9,  9,  203, 1, 2, 644760, 59924.28, 0, 0.00, 1: 113; 2: 45; 
Lymphopoiesis_Regulatory_Network,  14,  8, 11,  198, 1, 3, 700762, 59924.28, 0, 0.00, 1: 119; 2: 38; 3: 1; 
Lymphopoiesis_Regulatory_Network, 626,  8, 11,  199, 1, 3, 700428, 59924.28, 0, 0.00, 1: 118; 2: 39; 3: 1; 
Lymphopoiesis_Regulatory_Network, 710,  6, 15,  199, 1, 3, 714262, 59924.28, 0, 0.00, 1: 121; 2: 33; 3: 4; 
Lymphopoiesis_Regulatory_Network,  61,  7, 12,  199, 1, 3, 668808, 59924.28, 0, 0.00, 1: 118; 2: 39; 3: 1; 
Lymphopoiesis_Regulatory_Network, 158, 11,  8,  199, 1, 3, 700570, 59924.28, 0, 0.00, 1: 119; 2: 37; 3: 2; 
Lymphopoiesis_Regulatory_Network,  58, 11,  8,  199, 1, 3, 700429, 59924.28, 0, 0.00, 1: 118; 2: 39; 3: 1; 
Lymphopoiesis_Regulatory_Network, 777,  9, 10,  199, 1, 3, 714326, 59924.28, 0, 0.00, 1: 118; 2: 39; 3: 1; 
Lymphopoiesis_Regulatory_Network, 720,  6, 16,  199, 1, 3, 748624, 59924.28, 57, 0.00, 1: 120; 2: 35; 3: 3; 
Lymphopoiesis_Regulatory_Network, 344, 11,  8,  199, 1, 3, 700283, 59924.28, 19, 0.00, 1: 118; 2: 39; 3: 1; 
Lymphopoiesis_Regulatory_Network, 240,  6, 16,  199, 1, 3, 748188, 59924.28, 17, 0.00, 1: 119; 2: 37; 3: 2; 
Lymphopoiesis_Regulatory_Network, 238, 11,  8,  199, 1, 3, 700590, 59924.28, 0, 0.00, 1: 120; 2: 35; 3: 3; 
Lymphopoiesis_Regulatory_Network, 543, 11,  8,  199, 1, 3, 700213, 59924.28, 0, 0.00, 1: 119; 2: 37; 3: 2; 
Lymphopoiesis_Regulatory_Network, 792, 11,  8,  199, 1, 3, 700517, 59924.28, 61, 0.00, 1: 119; 2: 37; 3: 2; 
Lymphopoiesis_Regulatory_Network, 840, 11,  8,  199, 1, 3, 700609, 59924.28, 62, 0.00, 1: 119; 2: 37; 3: 2; 
Lymphopoiesis_Regulatory_Network, 737, 11,  8,  200, 1, 3, 700495, 59924.28, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 629,  6, 16,  200, 1, 3, 748248, 59924.28, 0, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 714,  9, 10,  200, 1, 3, 714398, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 900,  8, 11,  200, 1, 3, 700613, 59924.28, 14, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 867,  8, 11,  200, 1, 3, 700006, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 193, 12,  7,  200, 1, 3, 668774, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 208, 11,  8,  200, 1, 3, 700272, 59924.28, 15, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 386,  8, 11,  200, 1, 3, 700696, 59924.28, 0, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 209,  8, 11,  200, 1, 3, 700545, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 633,  9, 10,  200, 1, 3, 713997, 59924.28, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 108,  6, 15,  200, 1, 3, 714640, 59924.28, 79, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 503,  8, 11,  200, 1, 3, 700574, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 514, 11,  8,  200, 1, 3, 700613, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 162,  9, 10,  200, 1, 3, 714613, 59924.28, 0, 0.00, 1: 118; 2: 38; 3: 2; 
Lymphopoiesis_Regulatory_Network, 550,  7, 13,  200, 1, 3, 721074, 59924.28, 0, 0.00, 1: 117; 2: 40; 3: 1; 
Lymphopoiesis_Regulatory_Network, 994,  9, 10,  201, 1, 3, 714386, 59924.28, 0, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 685,  7, 12,  201, 1, 3, 668763, 59924.28, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 349,  7, 13,  201, 1, 3, 720823, 59924.28, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 353,  8, 11,  201, 1, 3, 700583, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
Lymphopoiesis_Regulatory_Network, 446, 11,  8,  201, 1, 3, 700209, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
Lymphopoiesis_Regulatory_Network, 958,  6, 15,  201, 1, 3, 714594, 59924.28, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 123,  9, 10,  201, 1, 3, 714553, 59924.28, 0, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 437,  9, 10,  201, 1, 3, 714368, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
Lymphopoiesis_Regulatory_Network, 674, 12,  7,  201, 1, 3, 668763, 59924.28, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 558, 11,  8,  201, 1, 3, 700485, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
Lymphopoiesis_Regulatory_Network, 321, 11,  8,  201, 1, 3, 700484, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
Lymphopoiesis_Regulatory_Network, 965,  8, 11,  201, 1, 3, 700549, 59924.28, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 364,  6, 14,  201, 1, 3, 668767, 59924.28, 79, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 305,  7, 13,  201, 1, 3, 721247, 59924.28, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 998, 12,  7,  201, 1, 3, 668655, 59924.28, 0, 0.00, 1: 116; 2: 41; 3: 1; 
