Seed 1656949570
ARCH 0|F_ID 1|LIMIT 2
before: 
02(437)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 629,  9,  4,   50, 0, 2, 281822, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 453,  4,  9,   50, 0, 2, 281820, 4512.16, 85, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 617,  4, 10,   50, 0, 2, 308237, 4512.16, 68, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 611,  6,  6,   50, 0, 2, 281777, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 664,  6,  6,   50, 0, 2, 281826, 4512.16, 16, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 609,  4, 10,   50, 0, 2, 308366, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 287,  5,  8,   50, 0, 2, 308321, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 433,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 165,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 164,  7,  5,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 214,  4,  9,   50, 0, 2, 281782, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 465,  4, 10,   50, 0, 2, 308280, 4512.16, 4, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 149,  4,  9,   50, 0, 2, 281775, 4512.16, 85, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 223,  5,  8,   50, 0, 2, 308228, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway,  17,  9,  4,   50, 0, 2, 281796, 4512.16, 11, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 929,  6,  6,   50, 0, 2, 281794, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 887,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway,  91,  5,  8,   50, 0, 2, 308246, 4512.16, 136, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway,  73,  9,  4,   50, 0, 2, 281796, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 532,  9,  4,   50, 0, 2, 281790, 4512.16, 144, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 971,  4, 10,   50, 0, 2, 308296, 4512.16, 136, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 822,  5,  8,   50, 0, 2, 308247, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
