Seed 1656949570
ARCH 2|F_ID 1|LIMIT 2
before: 
192(976)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 981,  6,  6,   46, 1, 2, 281693, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 200,  4, 10,   46, 1, 2, 308358, 4783.71, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 599,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 982,  9,  4,   46, 1, 2, 281811, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 590,  9,  4,   46, 1, 2, 281696, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 529,  6,  6,   46, 1, 2, 281694, 4783.71, 165, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 587,  5,  7,   46, 1, 2, 274295, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 986,  5,  8,   46, 1, 2, 308469, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 526,  5,  8,   46, 1, 2, 308229, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 571,  5,  8,   46, 1, 2, 308288, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 329,  5,  8,   46, 1, 2, 308294, 4783.71, 164, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 566,  4, 10,   46, 1, 2, 308439, 4783.71, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 231,  6,  6,   46, 1, 2, 281869, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 989,  9,  4,   46, 1, 2, 281774, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 230,  5,  8,   46, 1, 2, 308467, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 229,  5,  8,   46, 1, 2, 308167, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 222,  4, 10,   46, 1, 2, 308173, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 516,  4,  9,   46, 1, 2, 281786, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 493,  5,  8,   46, 1, 2, 307893, 4783.71, 49, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 174,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 998,  4, 10,   46, 1, 2, 308495, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 176,  5,  8,   46, 1, 2, 308449, 4783.71, 7, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 496,  7,  5,   46, 1, 2, 274295, 4783.71, 78, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 499,  4,  9,   46, 1, 2, 281907, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 972,  4, 10,   46, 1, 2, 308564, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 511,  5,  8,   46, 1, 2, 308342, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 640,  4, 10,   46, 1, 2, 308385, 4783.71, 144, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 220,  5,  7,   46, 1, 2, 274295, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 629,  9,  4,   46, 1, 2, 281834, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 627,  4, 10,   46, 1, 2, 308213, 4783.71, 108, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 518,  6,  6,   46, 1, 2, 281855, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 622,  6,  6,   46, 1, 2, 281882, 4783.71, 115, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 557,  4, 10,   46, 1, 2, 307965, 4783.71, 49, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 336,  5,  8,   46, 1, 2, 308920, 4783.71, 160, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 612,  5,  8,   46, 1, 2, 308182, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 611,  6,  6,   46, 1, 2, 281654, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  80,  9,  4,   46, 1, 2, 281785, 4783.71, 240, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 363,  4, 10,   46, 1, 2, 308220, 4783.71, 111, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 904,  9,  4,   46, 1, 2, 281787, 4783.71, 160, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 822,  5,  8,   46, 1, 2, 308384, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 824,  5,  8,   46, 1, 2, 308425, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  91,  5,  8,   46, 1, 2, 308296, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  89,  4, 10,   46, 1, 2, 308518, 4783.71, 172, 0.00, 1: 40; 2: 3; 
