Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
04(205)
macrophave_activation, 521, 15, 22,  951, 1, 4, 2658207, 213310.77, 233, 0.00, 1: 221; 2: 199; 3: 72; 4: 29; 
macrophave_activation, 818, 19, 17,  952, 1, 4, 2600100, 213310.77, 0, 0.00, 1: 215; 2: 209; 3: 69; 4: 28; 
macrophave_activation, 892, 15, 22,  952, 1, 4, 2658066, 213310.77, 151, 0.00, 1: 209; 2: 223; 3: 59; 4: 30; 
macrophave_activation, 287, 16, 21,  952, 1, 4, 2696360, 213310.77, 0, 0.00, 1: 204; 2: 225; 3: 70; 4: 22; 
macrophave_activation, 204, 21, 16,  952, 1, 4, 2696205, 213310.77, 151, 0.00, 1: 209; 2: 216; 3: 73; 4: 23; 
macrophave_activation, 259, 18, 18,  952, 1, 4, 2616140, 213310.77, 0, 0.00, 1: 202; 2: 227; 3: 72; 4: 20; 
macrophave_activation, 323, 19, 17,  952, 1, 4, 2600088, 213310.77, 0, 0.00, 1: 215; 2: 207; 3: 73; 4: 26; 
macrophave_activation, 181, 14, 24,  953, 1, 4, 2696478, 213310.77, 0, 0.00, 1: 213; 2: 211; 3: 70; 4: 27; 
macrophave_activation, 852, 17, 20,  954, 1, 4, 2757868, 213310.77, 0, 0.00, 1: 208; 2: 218; 3: 70; 4: 25; 
macrophave_activation, 262, 19, 17,  954, 1, 4, 2600101, 213310.77, 0, 0.00, 1: 213; 2: 205; 3: 81; 4: 22; 
macrophave_activation, 979, 19, 17,  955, 1, 4, 2600092, 213310.77, 0, 0.00, 1: 203; 2: 226; 3: 68; 4: 24; 
macrophave_activation, 207, 16, 21,  955, 1, 4, 2696273, 213310.77, 0, 0.00, 1: 219; 2: 197; 3: 78; 4: 27; 
macrophave_activation, 886, 16, 21,  955, 1, 4, 2696276, 213310.77, 0, 0.00, 1: 211; 2: 213; 3: 70; 4: 27; 
macrophave_activation, 309, 17, 20,  955, 1, 4, 2757715, 213310.77, 0, 0.00, 1: 205; 2: 219; 3: 76; 4: 21; 
macrophave_activation, 768, 13, 25,  955, 1, 4, 2632201, 213310.77, 121, 0.00, 1: 205; 2: 221; 3: 72; 4: 23; 
macrophave_activation, 481, 17, 19,  956, 1, 4, 2600110, 213310.77, 0, 0.00, 1: 206; 2: 221; 3: 68; 4: 26; 
macrophave_activation, 391, 17, 20,  956, 1, 4, 2757929, 213310.77, 0, 0.00, 1: 210; 2: 210; 3: 78; 4: 23; 
macrophave_activation, 590, 18, 18,  957, 1, 4, 2616140, 213310.77, 0, 0.00, 1: 210; 2: 212; 3: 73; 4: 26; 
macrophave_activation,  21, 18, 18,  957, 1, 4, 2616131, 213310.77, 85, 0.00, 1: 200; 2: 229; 3: 69; 4: 23; 
