Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(686)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  127, 1, 2, 639015, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 831,  9,  9,  130, 1, 2, 639310, 43827.16, 255, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 837,  7, 12,  130, 1, 2, 658652, 43827.16, 85, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 849, 11,  7,  130, 1, 2, 613174, 43827.16, 80, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,   5,  7, 11,  130, 1, 2, 613185, 43827.16, 127, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 434, 10,  8,  130, 1, 2, 634031, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  54,  7, 12,  130, 1, 2, 658542, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 793,  6, 14,  130, 1, 2, 659054, 43827.16, 107, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 320,  7, 11,  130, 1, 2, 613228, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 315,  9,  9,  130, 1, 2, 639034, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  58, 10,  8,  130, 1, 2, 634124, 43827.16, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 310, 10,  8,  130, 1, 2, 634136, 43827.16, 255, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  131, 1, 2, 639097, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 452,  6, 14,  131, 1, 2, 658444, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 657,  9,  9,  131, 1, 2, 639023, 43827.16, 79, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 394, 10,  8,  131, 1, 2, 634012, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 453, 10,  8,  131, 1, 2, 633948, 43827.16, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 904,  7, 12,  131, 1, 2, 658634, 43827.16, 112, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 660,  8, 10,  131, 1, 2, 633937, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 928,  7, 12,  131, 1, 2, 658843, 43827.16, 6, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 887,  7, 12,  131, 1, 2, 658300, 43827.16, 255, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 204, 10,  8,  131, 1, 2, 634308, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 461, 11,  7,  131, 1, 2, 613142, 43827.16, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 890, 10,  8,  131, 1, 2, 634179, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 706, 11,  7,  131, 1, 2, 613214, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 397,  7, 12,  131, 1, 2, 658616, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 540,  8, 10,  131, 1, 2, 634267, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 916,  9,  9,  131, 1, 2, 639372, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 918,  7, 12,  131, 1, 2, 658832, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 303,  7, 12,  131, 1, 2, 658523, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 290, 10,  8,  131, 1, 2, 634026, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 421,  9,  9,  131, 1, 2, 639294, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 292,  9,  9,  131, 1, 2, 639325, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 691,  8, 10,  131, 1, 2, 633994, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 422, 11,  7,  131, 1, 2, 612924, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 297,  8, 10,  131, 1, 2, 634221, 43827.16, 70, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 155,  7, 12,  131, 1, 2, 658149, 43827.16, 115, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 424,  7, 11,  131, 1, 2, 613263, 43827.16, 32, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 426, 10,  8,  131, 1, 2, 633974, 43827.16, 65, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 906,  9,  9,  131, 1, 2, 639129, 43827.16, 26, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 489,  8, 10,  131, 1, 2, 633890, 43827.16, 71, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 263,  8, 10,  131, 1, 2, 633888, 43827.16, 0, 0.00, 1: 81; 2: 25; 
