Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
04(988)
Melhor resultado nxn: Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis,  27,  9,  9,  196, 1, 4, 639147, 19894.78, 22, 0.00, 1: 59; 2: 30; 3: 15; 4: 8; 
Yeast_Apoptosis, 326, 10,  8,  196, 1, 4, 634066, 19894.78, 0, 0.00, 1: 57; 2: 32; 3: 17; 4: 6; 
Yeast_Apoptosis, 953, 10,  8,  196, 1, 4, 634063, 19894.78, 0, 0.00, 1: 57; 2: 33; 3: 15; 4: 7; 
Yeast_Apoptosis, 273,  7, 12,  196, 1, 4, 658717, 19894.78, 104, 0.00, 1: 56; 2: 35; 3: 14; 4: 7; 
Yeast_Apoptosis, 600,  9,  9,  196, 1, 4, 639181, 19894.78, 72, 0.00, 1: 51; 2: 42; 3: 15; 4: 4; 
Yeast_Apoptosis, 876,  9,  9,  196, 1, 4, 639260, 19894.78, 67, 0.00, 1: 55; 2: 38; 3: 11; 4: 8; 
Yeast_Apoptosis, 508, 11,  7,  196, 1, 4, 613207, 19894.78, 0, 0.00, 1: 61; 2: 25; 3: 19; 4: 7; 
Yeast_Apoptosis, 486, 10,  8,  196, 1, 4, 634134, 19894.78, 0, 0.00, 1: 58; 2: 33; 3: 12; 4: 9; 
Yeast_Apoptosis, 281,  7, 12,  196, 1, 4, 658772, 19894.78, 23, 0.00, 1: 57; 2: 33; 3: 15; 4: 7; 
Yeast_Apoptosis, 994,  8, 10,  196, 1, 4, 634062, 19894.78, 0, 0.00, 1: 55; 2: 38; 3: 11; 4: 8; 
Yeast_Apoptosis, 689,  9,  9,  197, 1, 4, 639230, 19894.78, 0, 0.00, 1: 54; 2: 36; 3: 17; 4: 5; 
Yeast_Apoptosis, 415, 10,  8,  197, 1, 4, 634101, 19894.78, 0, 0.00, 1: 54; 2: 37; 3: 15; 4: 6; 
Yeast_Apoptosis, 580,  7, 11,  197, 1, 4, 613149, 19894.78, 49, 0.00, 1: 56; 2: 32; 3: 19; 4: 5; 
Yeast_Apoptosis, 831,  9,  9,  197, 1, 4, 639174, 19894.78, 0, 0.00, 1: 61; 2: 26; 3: 16; 4: 9; 
Yeast_Apoptosis, 649,  8, 10,  197, 1, 4, 633957, 19894.78, 240, 0.00, 1: 57; 2: 32; 3: 16; 4: 7; 
Yeast_Apoptosis, 716, 11,  7,  197, 1, 4, 613203, 19894.78, 49, 0.00, 1: 58; 2: 29; 3: 19; 4: 6; 
Yeast_Apoptosis, 801, 10,  8,  197, 1, 4, 633967, 19894.78, 0, 0.00, 1: 58; 2: 29; 3: 19; 4: 6; 
Yeast_Apoptosis, 800,  9,  9,  197, 1, 4, 639189, 19894.78, 5, 0.00, 1: 56; 2: 33; 3: 17; 4: 6; 
Yeast_Apoptosis, 116,  8, 10,  197, 1, 4, 634038, 19894.78, 29, 0.00, 1: 56; 2: 34; 3: 15; 4: 7; 
Yeast_Apoptosis, 686,  9,  9,  197, 1, 4, 639136, 19894.78, 0, 0.00, 1: 59; 2: 28; 3: 18; 4: 7; 
Yeast_Apoptosis, 263,  8, 10,  197, 1, 4, 634196, 19894.78, 0, 0.00, 1: 57; 2: 32; 3: 16; 4: 7; 
Yeast_Apoptosis, 553,  7, 12,  197, 1, 4, 658586, 19894.78, 67, 0.00, 1: 58; 2: 33; 3: 11; 4: 10; 
Yeast_Apoptosis, 780,  8, 10,  197, 1, 4, 634080, 19894.78, 49, 0.00, 1: 56; 2: 36; 3: 11; 4: 9; 
Yeast_Apoptosis, 237,  7, 12,  197, 1, 4, 658637, 19894.78, 105, 0.00, 1: 58; 2: 30; 3: 17; 4: 7; 
Yeast_Apoptosis, 721, 11,  7,  197, 1, 4, 613173, 19894.78, 238, 0.00, 1: 61; 2: 25; 3: 18; 4: 8; 
Yeast_Apoptosis, 661,  8, 10,  197, 1, 4, 634048, 19894.78, 86, 0.00, 1: 55; 2: 34; 3: 18; 4: 5; 
Yeast_Apoptosis, 342,  8, 10,  197, 1, 4, 633963, 19894.78, 0, 0.00, 1: 57; 2: 29; 3: 22; 4: 4; 
Yeast_Apoptosis, 343,  9,  9,  197, 1, 4, 639124, 19894.78, 0, 0.00, 1: 56; 2: 33; 3: 17; 4: 6; 
Yeast_Apoptosis, 621,  8, 10,  197, 1, 4, 634059, 19894.78, 56, 0.00, 1: 59; 2: 32; 3: 10; 4: 11; 
Yeast_Apoptosis, 879, 10,  8,  197, 1, 4, 634089, 19894.78, 89, 0.00, 1: 52; 2: 41; 3: 13; 4: 6; 
Yeast_Apoptosis, 188, 11,  7,  197, 1, 4, 613214, 19894.78, 49, 0.00, 1: 58; 2: 29; 3: 19; 4: 6; 
Yeast_Apoptosis, 446, 10,  8,  197, 1, 4, 634100, 19894.78, 0, 0.00, 1: 54; 2: 36; 3: 17; 4: 5; 
Yeast_Apoptosis, 172,  7, 11,  197, 1, 4, 613179, 19894.78, 0, 0.00, 1: 60; 2: 27; 3: 17; 4: 8; 
Yeast_Apoptosis, 751, 10,  8,  197, 1, 4, 634062, 19894.78, 0, 0.00, 1: 56; 2: 33; 3: 17; 4: 6; 
Yeast_Apoptosis, 175,  8, 10,  197, 1, 4, 634168, 19894.78, 0, 0.00, 1: 60; 2: 26; 3: 19; 4: 7; 
Yeast_Apoptosis, 625,  7, 12,  197, 1, 4, 658980, 19894.78, 0, 0.00, 1: 57; 2: 32; 3: 16; 4: 7; 
Yeast_Apoptosis,  58, 10,  8,  197, 1, 4, 634034, 19894.78, 0, 0.00, 1: 59; 2: 26; 3: 22; 4: 5; 
Yeast_Apoptosis, 604,  9,  9,  197, 1, 4, 639053, 19894.78, 49, 0.00, 1: 57; 2: 33; 3: 14; 4: 8; 
Yeast_Apoptosis, 622,  8, 10,  197, 1, 4, 633974, 19894.78, 32, 0.00, 1: 54; 2: 35; 3: 19; 4: 4; 
Yeast_Apoptosis, 684,  6, 13,  197, 1, 4, 619490, 19894.78, 54, 0.00, 1: 59; 2: 27; 3: 20; 4: 6; 
Yeast_Apoptosis,  77,  9,  9,  198, 1, 4, 639206, 19894.78, 86, 0.00, 1: 63; 2: 21; 3: 19; 4: 9; 
Yeast_Apoptosis, 533,  8, 10,  198, 1, 4, 634076, 19894.78, 0, 0.00, 1: 58; 2: 30; 3: 16; 4: 8; 
Yeast_Apoptosis, 562,  9,  9,  198, 1, 4, 639118, 19894.78, 0, 0.00, 1: 56; 2: 32; 3: 18; 4: 6; 
Yeast_Apoptosis, 725, 10,  8,  198, 1, 4, 633951, 19894.78, 86, 0.00, 1: 59; 2: 31; 3: 11; 4: 11; 
