Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
214(282)
Lymphopoiesis_Regulatory_Network, 673,  9, 10,  270, 0, 4, 714542, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 62; 3: 23; 4: 4; 
Lymphopoiesis_Regulatory_Network, 544,  8, 11,  270, 0, 4, 700535, 21216.21, 44, 0.00, 0: 8; 1: 67; 2: 51; 3: 27; 4: 5; 
Lymphopoiesis_Regulatory_Network,  52,  8, 11,  270, 0, 4, 700471, 21216.21, 3, 0.00, 0: 8; 1: 61; 2: 61; 3: 25; 4: 3; 
Lymphopoiesis_Regulatory_Network, 260,  9, 10,  270, 0, 4, 714420, 21216.21, 19, 0.00, 0: 8; 1: 68; 2: 52; 3: 22; 4: 8; 
Lymphopoiesis_Regulatory_Network, 970,  7, 13,  270, 0, 4, 721000, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 57; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 498,  9, 10,  271, 0, 4, 714247, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 58; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 461, 12,  7,  271, 0, 4, 668741, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 58; 3: 18; 4: 9; 
Lymphopoiesis_Regulatory_Network, 976,  9, 10,  271, 0, 4, 714329, 21216.21, 68, 0.00, 0: 8; 1: 66; 2: 54; 3: 23; 4: 7; 
Lymphopoiesis_Regulatory_Network, 796,  7, 13,  271, 0, 4, 720898, 21216.21, 18, 0.00, 0: 8; 1: 64; 2: 59; 3: 19; 4: 8; 
Lymphopoiesis_Regulatory_Network, 242, 11,  8,  271, 0, 4, 700404, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 61; 3: 18; 4: 8; 
Lymphopoiesis_Regulatory_Network, 801, 11,  8,  271, 0, 4, 700343, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 60; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network, 975,  7, 13,  271, 0, 4, 720941, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 61; 3: 18; 4: 8; 
Lymphopoiesis_Regulatory_Network,  74,  9, 10,  271, 0, 4, 714459, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 62; 3: 16; 4: 9; 
Lymphopoiesis_Regulatory_Network, 968,  8, 11,  271, 0, 4, 700448, 21216.21, 67, 0.00, 0: 8; 1: 57; 2: 68; 3: 22; 4: 3; 
Lymphopoiesis_Regulatory_Network,  72,  8, 11,  271, 0, 4, 700451, 21216.21, 7, 0.00, 0: 8; 1: 62; 2: 61; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network,  45, 11,  8,  271, 0, 4, 700485, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 53; 3: 28; 4: 4; 
Lymphopoiesis_Regulatory_Network, 891,  8, 11,  271, 0, 4, 700421, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 55; 3: 18; 4: 10; 
Lymphopoiesis_Regulatory_Network, 394, 11,  8,  271, 0, 4, 700567, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 56; 3: 22; 4: 7; 
Lymphopoiesis_Regulatory_Network, 556,  8, 11,  271, 0, 4, 700555, 21216.21, 71, 0.00, 0: 8; 1: 64; 2: 58; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 932, 11,  8,  272, 0, 4, 700443, 21216.21, 18, 0.00, 0: 8; 1: 64; 2: 57; 3: 22; 4: 7; 
Lymphopoiesis_Regulatory_Network,  18,  9,  9,  272, 0, 4, 644760, 21216.21, 119, 0.00, 0: 8; 1: 61; 2: 62; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 694,  7, 12,  272, 0, 4, 668779, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 56; 3: 27; 4: 4; 
Lymphopoiesis_Regulatory_Network, 473,  7, 13,  272, 0, 4, 720918, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 58; 3: 20; 4: 8; 
Lymphopoiesis_Regulatory_Network, 113,  9, 10,  272, 0, 4, 714393, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 56; 3: 24; 4: 6; 
Lymphopoiesis_Regulatory_Network, 119,  9, 10,  272, 0, 4, 714421, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 52; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 227, 12,  7,  272, 0, 4, 668652, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 53; 3: 24; 4: 7; 
Lymphopoiesis_Regulatory_Network, 259,  9, 10,  272, 0, 4, 714339, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 55; 3: 20; 4: 9; 
Lymphopoiesis_Regulatory_Network,   9,  8, 11,  272, 0, 4, 700462, 21216.21, 192, 0.00, 0: 8; 1: 61; 2: 64; 3: 17; 4: 8; 
Lymphopoiesis_Regulatory_Network, 405,  7, 13,  272, 0, 4, 720702, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 54; 3: 25; 4: 6; 
Lymphopoiesis_Regulatory_Network,   8, 12,  7,  272, 0, 4, 668701, 21216.21, 16, 0.00, 0: 8; 1: 62; 2: 61; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network, 447,  9, 10,  272, 0, 4, 714298, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 60; 3: 22; 4: 6; 
Lymphopoiesis_Regulatory_Network, 233,  7, 13,  273, 0, 4, 720970, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 57; 3: 18; 4: 10; 
Lymphopoiesis_Regulatory_Network, 640,  8, 11,  273, 0, 4, 700516, 21216.21, 53, 0.00, 0: 8; 1: 67; 2: 50; 3: 26; 4: 7; 
Lymphopoiesis_Regulatory_Network, 896, 11,  8,  273, 0, 4, 700501, 21216.21, 63, 0.00, 0: 8; 1: 60; 2: 62; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network, 433,  6, 16,  273, 0, 4, 748360, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 18; 4: 9; 
Lymphopoiesis_Regulatory_Network, 542, 12,  7,  273, 0, 4, 668731, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 62; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network,   4, 11,  8,  273, 0, 4, 700344, 21216.21, 72, 0.00, 0: 8; 1: 62; 2: 58; 3: 25; 4: 5; 
Lymphopoiesis_Regulatory_Network, 153, 11,  8,  273, 0, 4, 700401, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 57; 3: 18; 4: 10; 
Lymphopoiesis_Regulatory_Network, 231, 11,  8,  273, 0, 4, 700515, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 61; 3: 16; 4: 10; 
Lymphopoiesis_Regulatory_Network, 204, 11,  8,  273, 0, 4, 700462, 21216.21, 6, 0.00, 0: 8; 1: 65; 2: 53; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 346,  7, 13,  273, 0, 4, 720925, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 62; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network, 533,  9, 10,  273, 0, 4, 714467, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 51; 3: 30; 4: 4; 
Lymphopoiesis_Regulatory_Network,  22,  8, 11,  273, 0, 4, 700575, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 59; 3: 26; 4: 4; 
Lymphopoiesis_Regulatory_Network,  38,  9, 10,  273, 0, 4, 714410, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 57; 3: 21; 4: 8; 
Lymphopoiesis_Regulatory_Network, 899,  8, 11,  273, 0, 4, 700561, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 63; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 152,  7, 13,  273, 0, 4, 720989, 21216.21, 12, 0.00, 0: 8; 1: 63; 2: 58; 3: 22; 4: 7; 
Lymphopoiesis_Regulatory_Network,  14,  8, 11,  273, 0, 4, 700474, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 62; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network, 911, 12,  7,  273, 0, 4, 668737, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 57; 3: 24; 4: 6; 
Lymphopoiesis_Regulatory_Network, 756,  7, 13,  273, 0, 4, 720774, 21216.21, 16, 0.00, 0: 8; 1: 68; 2: 51; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network,  58, 11,  8,  273, 0, 4, 700387, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 59; 3: 29; 4: 2; 
Lymphopoiesis_Regulatory_Network, 318, 12,  7,  273, 0, 4, 668729, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 57; 3: 24; 4: 6; 
Lymphopoiesis_Regulatory_Network,  30,  8, 11,  273, 0, 4, 700418, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 54; 3: 24; 4: 7; 
Lymphopoiesis_Regulatory_Network, 188, 12,  7,  273, 0, 4, 668736, 21216.21, 10, 0.00, 0: 8; 1: 61; 2: 63; 3: 18; 4: 8; 
Lymphopoiesis_Regulatory_Network, 263,  9, 10,  274, 0, 4, 714180, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 62; 3: 22; 4: 6; 
Lymphopoiesis_Regulatory_Network, 641,  9, 10,  274, 0, 4, 714499, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 61; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 619,  7, 13,  274, 0, 4, 720810, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 62; 3: 25; 4: 4; 
Lymphopoiesis_Regulatory_Network, 852,  8, 11,  274, 0, 4, 700567, 21216.21, 19, 0.00, 0: 8; 1: 64; 2: 54; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 895,  7, 13,  274, 0, 4, 720742, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 53; 3: 25; 4: 7; 
Lymphopoiesis_Regulatory_Network, 605,  8, 11,  274, 0, 4, 700544, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 61; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 145,  7, 13,  274, 0, 4, 720923, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 60; 3: 17; 4: 10; 
Lymphopoiesis_Regulatory_Network, 470,  9, 10,  274, 0, 4, 714451, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 64; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 795, 11,  8,  274, 0, 4, 700461, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 50; 3: 31; 4: 4; 
Lymphopoiesis_Regulatory_Network, 874,  8, 11,  274, 0, 4, 700488, 21216.21, 0, 0.00, 0: 8; 1: 58; 2: 64; 3: 24; 4: 4; 
Lymphopoiesis_Regulatory_Network, 326, 11,  8,  274, 0, 4, 700493, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 60; 3: 20; 4: 8; 
Lymphopoiesis_Regulatory_Network, 378,  7, 12,  274, 0, 4, 668731, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 55; 3: 27; 4: 5; 
Lymphopoiesis_Regulatory_Network, 809,  7, 13,  274, 0, 4, 721004, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 51; 3: 29; 4: 5; 
Lymphopoiesis_Regulatory_Network,  17,  9,  9,  274, 0, 4, 644760, 21216.21, 23, 0.00, 0: 8; 1: 63; 2: 60; 3: 17; 4: 10; 
Lymphopoiesis_Regulatory_Network, 524, 11,  8,  274, 0, 4, 700519, 21216.21, 12, 0.00, 0: 8; 1: 64; 2: 54; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 310, 11,  8,  274, 0, 4, 700666, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 63; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network, 722,  8, 11,  274, 0, 4, 700378, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 63; 3: 23; 4: 5; 
Lymphopoiesis_Regulatory_Network,  20,  7, 13,  274, 0, 4, 720873, 21216.21, 25, 0.00, 0: 8; 1: 68; 2: 48; 3: 26; 4: 8; 
Lymphopoiesis_Regulatory_Network, 887,  7, 12,  274, 0, 4, 668736, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 64; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 708,  6, 14,  274, 0, 4, 668710, 21216.21, 10, 0.00, 0: 8; 1: 64; 2: 58; 3: 18; 4: 10; 
Lymphopoiesis_Regulatory_Network, 705, 11,  8,  274, 0, 4, 700546, 21216.21, 0, 0.00, 0: 8; 1: 59; 2: 66; 3: 17; 4: 8; 
Lymphopoiesis_Regulatory_Network,  56,  7, 13,  274, 0, 4, 720841, 21216.21, 7, 0.00, 0: 8; 1: 66; 2: 52; 3: 24; 4: 8; 
Lymphopoiesis_Regulatory_Network, 500, 12,  7,  275, 0, 4, 668733, 21216.21, 40, 0.00, 0: 8; 1: 61; 2: 57; 3: 28; 4: 4; 
Lymphopoiesis_Regulatory_Network, 208, 11,  8,  275, 0, 4, 700367, 21216.21, 15, 0.00, 0: 8; 1: 62; 2: 58; 3: 23; 4: 7; 
Lymphopoiesis_Regulatory_Network, 484,  9, 10,  275, 0, 4, 714334, 21216.21, 6, 0.00, 0: 8; 1: 60; 2: 60; 3: 25; 4: 5; 
Lymphopoiesis_Regulatory_Network, 214,  9,  9,  275, 0, 4, 644760, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 53; 3: 30; 4: 4; 
Lymphopoiesis_Regulatory_Network, 449,  9, 10,  275, 0, 4, 714461, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 56; 3: 27; 4: 5; 
Lymphopoiesis_Regulatory_Network, 560,  8, 11,  275, 0, 4, 700465, 21216.21, 46, 0.00, 0: 8; 1: 59; 2: 64; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network, 580,  8, 11,  275, 0, 4, 700518, 21216.21, 49, 0.00, 0: 8; 1: 60; 2: 58; 3: 29; 4: 3; 
Lymphopoiesis_Regulatory_Network, 386,  8, 11,  275, 0, 4, 700523, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 56; 3: 24; 4: 7; 
Lymphopoiesis_Regulatory_Network, 863,  7, 12,  275, 0, 4, 668700, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 55; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network, 745,  8, 11,  275, 0, 4, 700639, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 58; 3: 23; 4: 7; 
Lymphopoiesis_Regulatory_Network, 755, 12,  7,  275, 0, 4, 668736, 21216.21, 0, 0.00, 0: 8; 1: 58; 2: 65; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 684,  7, 13,  275, 0, 4, 720732, 21216.21, 62, 0.00, 0: 8; 1: 63; 2: 58; 3: 20; 4: 9; 
Lymphopoiesis_Regulatory_Network, 115,  7, 13,  275, 0, 4, 720902, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 55; 3: 17; 4: 12; 
Lymphopoiesis_Regulatory_Network,  85,  6, 15,  275, 0, 4, 714386, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 58; 3: 17; 4: 11; 
Lymphopoiesis_Regulatory_Network, 781,  6, 16,  275, 0, 4, 748217, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 62; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 807,  9,  9,  275, 0, 4, 644760, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 58; 3: 20; 4: 9; 
Lymphopoiesis_Regulatory_Network, 857, 12,  7,  275, 0, 4, 668691, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 61; 3: 17; 4: 10; 
Lymphopoiesis_Regulatory_Network,  55,  7, 13,  275, 0, 4, 720965, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 53; 3: 21; 4: 10; 
Lymphopoiesis_Regulatory_Network, 991,  8, 11,  276, 0, 4, 700553, 21216.21, 0, 0.00, 0: 8; 1: 60; 2: 60; 3: 24; 4: 6; 
Lymphopoiesis_Regulatory_Network, 292,  9,  9,  276, 0, 4, 644760, 21216.21, 74, 0.00, 0: 8; 1: 61; 2: 57; 3: 27; 4: 5; 
Lymphopoiesis_Regulatory_Network, 746,  7, 12,  276, 0, 4, 668791, 21216.21, 0, 0.00, 0: 8; 1: 61; 2: 60; 3: 21; 4: 8; 
Lymphopoiesis_Regulatory_Network, 750,  6, 15,  276, 0, 4, 714429, 21216.21, 0, 0.00, 0: 8; 1: 62; 2: 56; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 237,  7, 12,  276, 0, 4, 668740, 21216.21, 0, 0.00, 0: 8; 1: 58; 2: 64; 3: 22; 4: 6; 
Lymphopoiesis_Regulatory_Network, 850,  6, 16,  276, 0, 4, 748573, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 52; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 478, 12,  7,  276, 0, 4, 668713, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 56; 3: 23; 4: 8; 
Lymphopoiesis_Regulatory_Network, 776, 11,  8,  276, 0, 4, 700574, 21216.21, 61, 0.00, 0: 8; 1: 60; 2: 59; 3: 26; 4: 5; 
