Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
14(597)
signal_transduction_in_fibroblasts,  23, 11, 13, 1055, 1, 4, 1146652, 188401.53, 0, 0.00, 1: 187; 2: 230; 3: 108; 4: 21; 
signal_transduction_in_fibroblasts, 490, 10, 14, 1055, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 195; 2: 216; 3: 112; 4: 23; 
signal_transduction_in_fibroblasts,   1, 13, 11, 1056, 1, 4, 1146615, 188401.53, 130, 0.00, 1: 187; 2: 224; 3: 119; 4: 16; 
signal_transduction_in_fibroblasts, 245, 13, 11, 1056, 1, 4, 1146603, 188401.53, 0, 0.00, 1: 190; 2: 212; 3: 134; 4: 10; 
signal_transduction_in_fibroblasts, 133, 11, 13, 1056, 1, 4, 1146587, 188401.53, 0, 0.00, 1: 187; 2: 224; 3: 119; 4: 16; 
signal_transduction_in_fibroblasts, 467, 12, 12, 1056, 1, 4, 1152085, 188401.53, 0, 0.00, 1: 198; 2: 203; 3: 128; 4: 17; 
signal_transduction_in_fibroblasts, 966, 11, 13, 1056, 1, 4, 1146639, 188401.53, 0, 0.00, 1: 203; 2: 197; 3: 125; 4: 21; 
signal_transduction_in_fibroblasts, 859, 11, 13, 1056, 1, 4, 1146603, 188401.53, 0, 0.00, 1: 194; 2: 213; 3: 120; 4: 19; 
signal_transduction_in_fibroblasts, 696, 14, 10, 1056, 1, 4, 1128680, 188401.53, 24, 0.00, 1: 184; 2: 236; 3: 104; 4: 22; 
signal_transduction_in_fibroblasts, 229, 11, 13, 1056, 1, 4, 1146574, 188401.53, 0, 0.00, 1: 189; 2: 222; 3: 117; 4: 18; 
signal_transduction_in_fibroblasts, 975,  9, 17, 1056, 1, 4, 1222755, 188401.53, 0, 0.00, 1: 190; 2: 221; 3: 116; 4: 19; 
signal_transduction_in_fibroblasts, 600, 10, 15, 1056, 1, 4, 1200996, 188401.53, 20, 0.00, 1: 195; 2: 213; 3: 117; 4: 21; 
