Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
IGVH_mutations_in_chronic_lymphocytic_leukemia, 631, 10, 10,  240, 0, 4, 796220, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 39; 3: 14; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 146,  9, 11,  240, 0, 4, 786101, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 34; 3: 21; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  240, 0, 4, 796029, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 31; 3: 21; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 693, 11,  9,  240, 0, 4, 786139, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 38; 3: 16; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 949, 11,  9,  240, 0, 4, 786072, 25006.03, 0, 0.00, 0: 25; 1: 62; 2: 26; 3: 22; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 213, 10, 10,  241, 0, 4, 795965, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 35; 3: 18; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 462,  9, 11,  241, 0, 4, 786145, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 31; 3: 17; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 225, 11,  9,  241, 0, 4, 786118, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 30; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 704,  9, 11,  241, 0, 4, 786117, 25006.03, 59, 0.00, 0: 25; 1: 55; 2: 39; 3: 16; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 902, 11,  9,  241, 0, 4, 786091, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 34; 3: 20; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 202,  9, 11,  241, 0, 4, 786101, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 36; 3: 16; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 744, 11,  9,  241, 0, 4, 786136, 25006.03, 67, 0.00, 0: 25; 1: 60; 2: 29; 3: 21; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 766, 11,  9,  241, 0, 4, 786063, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 32; 3: 18; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 123, 10, 10,  241, 0, 4, 796069, 25006.03, 0, 0.00, 0: 25; 1: 54; 2: 38; 3: 21; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 142, 10, 10,  241, 0, 4, 795948, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 33; 3: 16; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   7, 10, 10,  241, 0, 4, 796076, 25006.03, 0, 0.00, 0: 25; 1: 53; 2: 41; 3: 18; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 612, 10, 10,  241, 0, 4, 795943, 25006.03, 13, 0.00, 0: 25; 1: 57; 2: 33; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 472, 10, 10,  241, 0, 4, 796110, 25006.03, 43, 0.00, 0: 25; 1: 61; 2: 29; 3: 18; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  48, 10, 10,  241, 0, 4, 796022, 25006.03, 7, 0.00, 0: 25; 1: 63; 2: 26; 3: 18; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 126, 10, 10,  241, 0, 4, 796051, 25006.03, 0, 0.00, 0: 25; 1: 58; 2: 33; 3: 19; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 543, 12,  8,  241, 0, 4, 764380, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 39; 3: 16; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  13, 11,  9,  242, 0, 4, 786140, 25006.03, 127, 0.00, 0: 25; 1: 54; 2: 38; 3: 20; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 996, 11,  9,  242, 0, 4, 786059, 25006.03, 6, 0.00, 0: 25; 1: 58; 2: 31; 3: 22; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 822, 11,  9,  242, 0, 4, 786087, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 33; 3: 15; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 156,  8, 12,  242, 0, 4, 764452, 25006.03, 3, 0.00, 0: 25; 1: 58; 2: 33; 3: 18; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 452,  9, 11,  242, 0, 4, 785973, 25006.03, 34, 0.00, 0: 25; 1: 56; 2: 36; 3: 18; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 743, 10, 10,  242, 0, 4, 796013, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 34; 3: 22; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 790,  9, 11,  242, 0, 4, 786111, 25006.03, 0, 0.00, 0: 25; 1: 61; 2: 28; 3: 19; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  99,  9, 11,  242, 0, 4, 786058, 25006.03, 0, 0.00, 0: 25; 1: 54; 2: 39; 3: 18; 4: 14; 
