Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 818, 11,  7,  149, 1, 3, 613211, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 615, 10,  8,  149, 1, 3, 633118, 17070.56, 0, 0.00, 1: 76; 2: 35; 3: 1; 
Yeast_Apoptosis, 315,  9,  9,  149, 1, 3, 638817, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 822,  6, 14,  149, 1, 3, 658547, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 552,  9,  9,  149, 1, 3, 638778, 17070.56, 32, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 474,  7, 11,  149, 1, 3, 613068, 17070.56, 64, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 485,  6, 14,  149, 1, 3, 658947, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 685,  7, 12,  149, 1, 3, 658694, 17070.56, 32, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 513, 10,  8,  149, 1, 3, 634337, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 617, 11,  7,  149, 1, 3, 613257, 17070.56, 67, 0.00, 1: 81; 2: 25; 3: 6; 
Yeast_Apoptosis, 840, 10,  8,  149, 1, 3, 633690, 17070.56, 112, 0.00, 1: 82; 2: 23; 3: 7; 
Yeast_Apoptosis, 150,  7, 12,  149, 1, 3, 658909, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 141, 10,  8,  149, 1, 3, 633574, 17070.56, 86, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 139,  6, 14,  149, 1, 3, 659259, 17070.56, 186, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 122,  7, 12,  149, 1, 3, 659171, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 350,  8, 10,  149, 1, 3, 633985, 17070.56, 0, 0.00, 1: 76; 2: 35; 3: 1; 
Yeast_Apoptosis, 291,  6, 13,  149, 1, 3, 619518, 17070.56, 0, 0.00, 1: 81; 2: 25; 3: 6; 
Yeast_Apoptosis, 444,  8, 10,  149, 1, 3, 634302, 17070.56, 2, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 596,  8, 10,  149, 1, 3, 634116, 17070.56, 75, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 389,  7, 12,  149, 1, 3, 658333, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 401,  7, 11,  149, 1, 3, 613455, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 275, 11,  7,  149, 1, 3, 613202, 17070.56, 186, 0.00, 1: 77; 2: 33; 3: 2; 
Yeast_Apoptosis, 606,  7, 12,  149, 1, 3, 658157, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 718,  8, 10,  149, 1, 3, 633579, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 417, 10,  8,  149, 1, 3, 634253, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 579, 10,  8,  149, 1, 3, 634260, 17070.56, 186, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 570,  9,  9,  149, 1, 3, 639494, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 442,  8, 10,  149, 1, 3, 633962, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 814,  7, 12,  149, 1, 3, 658624, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 741,  9,  9,  149, 1, 3, 638608, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 999,  7, 12,  149, 1, 3, 658825, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 238, 10,  8,  149, 1, 3, 634471, 17070.56, 99, 0.00, 1: 76; 2: 35; 3: 1; 
Yeast_Apoptosis, 772, 10,  8,  149, 1, 3, 633904, 17070.56, 75, 0.00, 1: 81; 2: 25; 3: 6; 
Yeast_Apoptosis, 218, 11,  7,  149, 1, 3, 613324, 17070.56, 64, 0.00, 1: 76; 2: 35; 3: 1; 
Yeast_Apoptosis, 562,  9,  9,  149, 1, 3, 639361, 17070.56, 0, 0.00, 1: 77; 2: 33; 3: 2; 
Yeast_Apoptosis, 209,  7, 11,  149, 1, 3, 613269, 17070.56, 128, 0.00, 1: 80; 2: 27; 3: 5; 
