Seed 1656949570
ARCH 2|F_ID 2|LIMIT 2
before: 
102(1000)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 270,  4, 10,   46, 1, 2, 308185, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 206,  5,  8,   46, 1, 2, 308330, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 188,  5,  8,   46, 1, 2, 308428, 6375.60, 131, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 186,  6,  6,   46, 1, 2, 281798, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 183,  5,  8,   46, 1, 2, 308259, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 182,  4, 10,   46, 1, 2, 308293, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 175,  5,  7,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 168,  5,  8,   46, 1, 2, 308344, 6375.60, 30, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 321,  6,  6,   46, 1, 2, 281798, 6375.60, 132, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 384,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 381,  9,  4,   46, 1, 2, 281775, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 379,  4,  9,   46, 1, 2, 281816, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 360,  7,  5,   46, 1, 2, 274295, 6375.60, 32, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 584,  9,  4,   46, 1, 2, 281795, 6375.60, 96, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 351,  4, 10,   46, 1, 2, 308322, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 329,  5,  8,   46, 1, 2, 308237, 6375.60, 132, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 322,  4, 10,   46, 1, 2, 308324, 6375.60, 34, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 388,  5,  8,   46, 1, 2, 308193, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 320,  7,  5,   46, 1, 2, 274295, 6375.60, 144, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 308,  4, 10,   46, 1, 2, 308428, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 305,  5,  8,   46, 1, 2, 308392, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 300,  5,  8,   46, 1, 2, 308403, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 293,  4, 10,   46, 1, 2, 308254, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 282,  7,  5,   46, 1, 2, 274295, 6375.60, 199, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 279,  4,  9,   46, 1, 2, 281800, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 860,  9,  4,   46, 1, 2, 281767, 6375.60, 6, 0.00, 1: 40; 2: 3; 
