Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 149,  4,  9,   51, 0, 2, 281780, 5444.15, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  81,  7,  5,   51, 0, 2, 274295, 5444.15, 128, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 856,  5,  7,   51, 0, 2, 274295, 5444.15, 144, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 858,  5,  8,   51, 0, 2, 308372, 5444.15, 48, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 423,  9,  4,   51, 0, 2, 281803, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 864,  5,  8,   51, 0, 2, 308316, 5444.15, 19, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  55,  4,  9,   51, 0, 2, 281792, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 490,  4, 10,   51, 0, 2, 308426, 5444.15, 121, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 852,  6,  6,   51, 0, 2, 281784, 5444.15, 244, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 250,  5,  8,   51, 0, 2, 308304, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 484,  5,  8,   51, 0, 2, 308318, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 699,  7,  5,   51, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 481,  4, 10,   51, 0, 2, 308286, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 695,  6,  6,   51, 0, 2, 281783, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 266,  4,  9,   51, 0, 2, 281797, 5444.15, 139, 0.00, 0: 2; 1: 31; 2: 10; 
