Seed 1656949570
ARCH 2|F_ID 3|LIMIT 7
before: 
55(589)
Erb-reception, 111, 13, 19, 2460, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 267; 2: 409; 3: 302; 4: 101; 5: 13; 
Erb-reception,  35, 15, 17, 2460, 1, 5, 2070719, 380497.31, 0, 0.00, 1: 264; 2: 413; 3: 301; 4: 103; 5: 11; 
Erb-reception, 543, 14, 18, 2460, 1, 5, 2023449, 380497.31, 0, 0.00, 1: 267; 2: 410; 3: 295; 4: 112; 5: 8; 
Erb-reception, 475, 13, 20, 2461, 1, 5, 2082571, 380497.31, 0, 0.00, 1: 282; 2: 391; 3: 292; 4: 114; 5: 13; 
Erb-reception, 100, 14, 18, 2461, 1, 5, 2023419, 380497.31, 25, 0.00, 1: 272; 2: 393; 3: 318; 4: 96; 5: 13; 
Erb-reception, 909, 18, 14, 2461, 1, 5, 2023379, 380497.31, 0, 0.00, 1: 258; 2: 424; 3: 298; 4: 99; 5: 13; 
Erb-reception, 583, 15, 17, 2462, 1, 5, 2070783, 380497.31, 0, 0.00, 1: 285; 2: 373; 3: 312; 4: 115; 5: 7; 
Erb-reception, 885, 15, 17, 2462, 1, 5, 2070853, 380497.31, 0, 0.00, 1: 263; 2: 417; 3: 294; 4: 107; 5: 11; 
Erb-reception, 828, 15, 17, 2462, 1, 5, 2070898, 380497.31, 207, 0.00, 1: 257; 2: 414; 3: 314; 4: 100; 5: 7; 
Erb-reception,  28, 13, 20, 2462, 1, 5, 2082713, 380497.31, 7, 0.00, 1: 283; 2: 381; 3: 308; 4: 107; 5: 13; 
Erb-reception, 172, 18, 14, 2463, 1, 5, 2023432, 380497.31, 43, 0.00, 1: 270; 2: 386; 3: 329; 4: 101; 5: 6; 
Erb-reception, 377, 14, 18, 2463, 1, 5, 2023308, 380497.31, 0, 0.00, 1: 263; 2: 411; 3: 302; 4: 108; 5: 8; 
Erb-reception, 670, 12, 21, 2463, 1, 5, 2023433, 380497.31, 0, 0.00, 1: 284; 2: 375; 3: 315; 4: 106; 5: 12; 
Erb-reception, 791, 17, 15, 2463, 1, 5, 2070721, 380497.31, 0, 0.00, 1: 269; 2: 392; 3: 327; 4: 91; 5: 13; 
Erb-reception, 924, 14, 18, 2463, 1, 5, 2023436, 380497.31, 231, 0.00, 1: 260; 2: 411; 3: 313; 4: 98; 5: 10; 
Erb-reception, 832, 13, 19, 2463, 1, 5, 2005146, 380497.31, 208, 0.00, 1: 263; 2: 402; 3: 322; 4: 95; 5: 10; 
Erb-reception, 674, 15, 17, 2464, 1, 5, 2070675, 380497.31, 0, 0.00, 1: 267; 2: 408; 3: 298; 4: 108; 5: 11; 
Erb-reception, 388, 15, 17, 2464, 1, 5, 2070680, 380497.31, 97, 0.00, 1: 266; 2: 396; 3: 321; 4: 102; 5: 7; 
Erb-reception, 261, 16, 16, 2464, 1, 5, 2053983, 380497.31, 0, 0.00, 1: 275; 2: 373; 3: 338; 4: 101; 5: 5; 
Erb-reception, 934, 18, 14, 2465, 1, 5, 2023307, 380497.31, 0, 0.00, 1: 276; 2: 394; 3: 297; 4: 115; 5: 10; 
Erb-reception, 574, 16, 16, 2465, 1, 5, 2053977, 380497.31, 0, 0.00, 1: 268; 2: 407; 3: 293; 4: 116; 5: 8; 
Erb-reception, 334, 13, 19, 2465, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 267; 2: 401; 3: 306; 4: 112; 5: 6; 
Erb-reception, 246, 18, 14, 2465, 1, 5, 2023402, 380497.31, 0, 0.00, 1: 268; 2: 397; 3: 310; 4: 112; 5: 5; 
Erb-reception, 291, 16, 16, 2466, 1, 5, 2054031, 380497.31, 0, 0.00, 1: 269; 2: 383; 3: 337; 4: 95; 5: 8; 
Erb-reception, 842, 13, 20, 2466, 1, 5, 2082584, 380497.31, 0, 0.00, 1: 262; 2: 412; 3: 302; 4: 106; 5: 10; 
Erb-reception, 511, 17, 15, 2467, 1, 5, 2070710, 380497.31, 0, 0.00, 1: 261; 2: 407; 3: 310; 4: 108; 5: 6; 
Erb-reception, 362, 13, 20, 2467, 1, 5, 2082607, 380497.31, 0, 0.00, 1: 269; 2: 394; 3: 315; 4: 105; 5: 9; 
Erb-reception, 302, 12, 22, 2467, 1, 5, 2143839, 380497.31, 0, 0.00, 1: 284; 2: 392; 3: 278; 4: 125; 5: 13; 
Erb-reception, 229, 13, 19, 2467, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 279; 2: 375; 3: 319; 4: 114; 5: 5; 
Erb-reception, 892, 15, 17, 2467, 1, 5, 2070715, 380497.31, 223, 0.00, 1: 267; 2: 402; 3: 306; 4: 107; 5: 10; 
Erb-reception, 249, 17, 15, 2467, 1, 5, 2070676, 380497.31, 0, 0.00, 1: 262; 2: 407; 3: 309; 4: 106; 5: 8; 
Erb-reception, 627, 18, 14, 2468, 1, 5, 2023330, 380497.31, 0, 0.00, 1: 278; 2: 384; 3: 304; 4: 120; 5: 6; 
Erb-reception, 777, 17, 15, 2468, 1, 5, 2070749, 380497.31, 0, 0.00, 1: 258; 2: 407; 3: 318; 4: 103; 5: 6; 
Erb-reception, 344, 12, 21, 2468, 1, 5, 2023390, 380497.31, 86, 0.00, 1: 278; 2: 385; 3: 314; 4: 97; 5: 18; 
Erb-reception, 482, 17, 15, 2468, 1, 5, 2070639, 380497.31, 0, 0.00, 1: 251; 2: 408; 3: 334; 4: 96; 5: 3; 
Erb-reception, 322, 16, 16, 2468, 1, 5, 2053991, 380497.31, 0, 0.00, 1: 274; 2: 391; 3: 306; 4: 111; 5: 10; 
Erb-reception, 915, 15, 17, 2468, 1, 5, 2070697, 380497.31, 0, 0.00, 1: 278; 2: 376; 3: 321; 4: 110; 5: 7; 
Erb-reception,  15, 13, 20, 2468, 1, 5, 2082626, 380497.31, 0, 0.00, 1: 265; 2: 412; 3: 296; 4: 104; 5: 15; 
Erb-reception,  60, 15, 17, 2468, 1, 5, 2070962, 380497.31, 15, 0.00, 1: 265; 2: 410; 3: 295; 4: 112; 5: 10; 
Erb-reception,  59, 17, 15, 2468, 1, 5, 2070833, 380497.31, 0, 0.00, 1: 274; 2: 382; 3: 324; 4: 102; 5: 10; 
Erb-reception, 222, 13, 20, 2469, 1, 5, 2082677, 380497.31, 0, 0.00, 1: 269; 2: 388; 3: 322; 4: 107; 5: 6; 
Erb-reception, 440, 15, 17, 2469, 1, 5, 2070818, 380497.31, 110, 0.00, 1: 251; 2: 421; 3: 316; 4: 92; 5: 12; 
Erb-reception, 868, 12, 22, 2470, 1, 5, 2143907, 380497.31, 217, 0.00, 1: 280; 2: 383; 3: 309; 4: 103; 5: 17; 
Erb-reception, 974, 17, 15, 2470, 1, 5, 2070822, 380497.31, 0, 0.00, 1: 255; 2: 410; 3: 320; 4: 100; 5: 7; 
Erb-reception, 175, 17, 15, 2470, 1, 5, 2070827, 380497.31, 0, 0.00, 1: 266; 2: 393; 3: 325; 4: 97; 5: 11; 
Erb-reception, 244, 16, 16, 2470, 1, 5, 2053928, 380497.31, 61, 0.00, 1: 259; 2: 411; 3: 310; 4: 101; 5: 11; 
Erb-reception, 188, 18, 14, 2470, 1, 5, 2023438, 380497.31, 47, 0.00, 1: 283; 2: 370; 3: 321; 4: 106; 5: 12; 
Erb-reception, 472, 13, 20, 2470, 1, 5, 2082656, 380497.31, 118, 0.00, 1: 261; 2: 412; 3: 301; 4: 108; 5: 10; 
Erb-reception, 515, 14, 18, 2470, 1, 5, 2023450, 380497.31, 0, 0.00, 1: 286; 2: 369; 3: 312; 4: 115; 5: 10; 
Erb-reception, 956, 14, 18, 2471, 1, 5, 2023455, 380497.31, 239, 0.00, 1: 272; 2: 391; 3: 314; 4: 100; 5: 15; 
Erb-reception, 364, 15, 17, 2471, 1, 5, 2070791, 380497.31, 91, 0.00, 1: 273; 2: 387; 3: 313; 4: 110; 5: 9; 
Erb-reception,  95, 12, 22, 2471, 1, 5, 2143799, 380497.31, 0, 0.00, 1: 275; 2: 396; 3: 289; 4: 123; 5: 9; 
Erb-reception, 332, 13, 20, 2471, 1, 5, 2082761, 380497.31, 83, 0.00, 1: 263; 2: 405; 3: 313; 4: 96; 5: 15; 
Erb-reception, 713, 16, 16, 2471, 1, 5, 2053836, 380497.31, 0, 0.00, 1: 264; 2: 394; 3: 325; 4: 101; 5: 8; 
Erb-reception, 500, 13, 20, 2471, 1, 5, 2082645, 380497.31, 125, 0.00, 1: 262; 2: 412; 3: 299; 4: 107; 5: 12; 
Erb-reception, 596, 17, 15, 2471, 1, 5, 2070797, 380497.31, 149, 0.00, 1: 258; 2: 408; 3: 315; 4: 103; 5: 8; 
Erb-reception, 150, 13, 19, 2472, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 258; 2: 414; 3: 307; 4: 100; 5: 13; 
Erb-reception, 463, 17, 15, 2472, 1, 5, 2070816, 380497.31, 0, 0.00, 1: 272; 2: 386; 3: 317; 4: 108; 5: 9; 
Erb-reception,  12, 18, 14, 2472, 1, 5, 2023419, 380497.31, 0, 0.00, 1: 278; 2: 388; 3: 298; 4: 116; 5: 12; 
Erb-reception,  25, 14, 18, 2472, 1, 5, 2023403, 380497.31, 0, 0.00, 1: 268; 2: 399; 3: 304; 4: 111; 5: 10; 
Erb-reception, 908, 15, 17, 2472, 1, 5, 2070839, 380497.31, 227, 0.00, 1: 261; 2: 409; 3: 308; 4: 101; 5: 13; 
Erb-reception, 895, 13, 19, 2472, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 262; 2: 409; 3: 306; 4: 101; 5: 14; 
Erb-reception, 853, 13, 20, 2473, 1, 5, 2082585, 380497.31, 0, 0.00, 1: 268; 2: 400; 3: 304; 4: 107; 5: 13; 
