Seed 1656949570
ARCH 1|F_ID 3|LIMIT 7
before: 
35(674)
Erb-reception, 382, 18, 14, 2370, 1, 5, 2023325, 380261.00, 0, 0.00, 1: 295; 2: 415; 3: 292; 4: 81; 5: 9; 
Erb-reception, 756, 15, 17, 2370, 1, 5, 2070792, 380261.00, 189, 0.00, 1: 302; 2: 401; 3: 297; 4: 85; 5: 7; 
Erb-reception, 100, 14, 18, 2370, 1, 5, 2023359, 380261.00, 25, 0.00, 1: 308; 2: 401; 3: 280; 4: 95; 5: 8; 
Erb-reception, 658, 13, 20, 2370, 1, 5, 2082497, 380261.00, 0, 0.00, 1: 290; 2: 420; 3: 293; 4: 84; 5: 5; 
Erb-reception, 454, 16, 16, 2370, 1, 5, 2054025, 380261.00, 0, 0.00, 1: 299; 2: 408; 3: 293; 4: 84; 5: 8; 
Erb-reception, 466, 14, 18, 2370, 1, 5, 2023381, 380261.00, 0, 0.00, 1: 302; 2: 403; 3: 291; 4: 91; 5: 5; 
Erb-reception, 468, 12, 21, 2370, 1, 5, 2023438, 380261.00, 117, 0.00, 1: 298; 2: 417; 3: 279; 4: 89; 5: 9; 
Erb-reception, 666, 15, 17, 2370, 1, 5, 2070695, 380261.00, 0, 0.00, 1: 309; 2: 390; 3: 296; 4: 92; 5: 5; 
Erb-reception, 689, 14, 18, 2370, 1, 5, 2023418, 380261.00, 0, 0.00, 1: 291; 2: 410; 3: 310; 4: 76; 5: 5; 
Erb-reception, 425, 17, 15, 2371, 1, 5, 2070781, 380261.00, 0, 0.00, 1: 304; 2: 405; 3: 281; 4: 96; 5: 6; 
Erb-reception, 789, 14, 18, 2371, 1, 5, 2023383, 380261.00, 0, 0.00, 1: 294; 2: 415; 3: 294; 4: 80; 5: 9; 
Erb-reception, 788, 17, 15, 2371, 1, 5, 2070808, 380261.00, 197, 0.00, 1: 292; 2: 423; 3: 281; 4: 90; 5: 6; 
Erb-reception, 356, 13, 20, 2371, 1, 5, 2082643, 380261.00, 89, 0.00, 1: 305; 2: 403; 3: 283; 4: 94; 5: 7; 
Erb-reception, 179, 18, 14, 2371, 1, 5, 2023368, 380261.00, 0, 0.00, 1: 302; 2: 401; 3: 292; 4: 94; 5: 3; 
Erb-reception, 568, 17, 15, 2371, 1, 5, 2070786, 380261.00, 142, 0.00, 1: 301; 2: 405; 3: 288; 4: 94; 5: 4; 
Erb-reception,  38, 15, 17, 2371, 1, 5, 2070823, 380261.00, 0, 0.00, 1: 307; 2: 403; 3: 278; 4: 96; 5: 8; 
Erb-reception, 169, 17, 15, 2372, 1, 5, 2070485, 380261.00, 0, 0.00, 1: 299; 2: 415; 3: 275; 4: 97; 5: 6; 
Erb-reception, 862, 17, 15, 2372, 1, 5, 2070841, 380261.00, 0, 0.00, 1: 304; 2: 390; 3: 308; 4: 86; 5: 4; 
Erb-reception, 336, 13, 20, 2372, 1, 5, 2082546, 380261.00, 84, 0.00, 1: 308; 2: 399; 3: 279; 4: 101; 5: 5; 
Erb-reception, 362, 13, 20, 2372, 1, 5, 2082400, 380261.00, 0, 0.00, 1: 298; 2: 416; 3: 278; 4: 92; 5: 8; 
Erb-reception,  60, 15, 17, 2372, 1, 5, 2070837, 380261.00, 15, 0.00, 1: 293; 2: 422; 3: 282; 4: 86; 5: 9; 
Erb-reception, 529, 14, 18, 2373, 1, 5, 2023397, 380261.00, 0, 0.00, 1: 296; 2: 418; 3: 275; 4: 99; 5: 4; 
Erb-reception, 261, 16, 16, 2373, 1, 5, 2053949, 380261.00, 0, 0.00, 1: 296; 2: 411; 3: 292; 4: 86; 5: 7; 
Erb-reception, 416, 13, 20, 2373, 1, 5, 2082687, 380261.00, 104, 0.00, 1: 287; 2: 437; 3: 266; 4: 96; 5: 6; 
Erb-reception, 837, 14, 18, 2373, 1, 5, 2023445, 380261.00, 0, 0.00, 1: 298; 2: 416; 3: 276; 4: 95; 5: 7; 
Erb-reception, 388, 15, 17, 2373, 1, 5, 2070630, 380261.00, 97, 0.00, 1: 299; 2: 404; 3: 293; 4: 93; 5: 3; 
Erb-reception, 243, 16, 16, 2373, 1, 5, 2054053, 380261.00, 0, 0.00, 1: 313; 2: 383; 3: 297; 4: 92; 5: 7; 
Erb-reception,  52, 13, 19, 2373, 1, 5, 2005146, 380261.00, 13, 0.00, 1: 285; 2: 418; 3: 309; 4: 75; 5: 5; 
Erb-reception, 744, 14, 18, 2374, 1, 5, 2023408, 380261.00, 186, 0.00, 1: 299; 2: 411; 3: 281; 4: 95; 5: 6; 
Erb-reception, 321, 14, 18, 2374, 1, 5, 2023395, 380261.00, 0, 0.00, 1: 302; 2: 399; 3: 295; 4: 91; 5: 5; 
