Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
533(275)
Lymphopoiesis_Regulatory_Network, 101,  6, 15,  216, 1, 3, 714463, 25783.22, 0, 0.00, 1: 111; 2: 36; 3: 11; 
Lymphopoiesis_Regulatory_Network,  92,  6, 14,  216, 1, 3, 668683, 25783.22, 9, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 837,  7, 12,  216, 1, 3, 668743, 25783.22, 0, 0.00, 1: 105; 2: 48; 3: 5; 
Lymphopoiesis_Regulatory_Network, 990,  6, 14,  216, 1, 3, 668756, 25783.22, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 240,  6, 16,  216, 1, 3, 748512, 25783.22, 17, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 172,  8, 11,  216, 1, 3, 700437, 25783.22, 59, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 935,  6, 16,  216, 1, 3, 748494, 25783.22, 0, 0.00, 1: 111; 2: 36; 3: 11; 
Lymphopoiesis_Regulatory_Network, 715,  7, 13,  216, 1, 3, 720856, 25783.22, 0, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 522,  6, 14,  216, 1, 3, 668780, 25783.22, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 524, 11,  8,  216, 1, 3, 700413, 25783.22, 12, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 905,  6, 14,  216, 1, 3, 668747, 25783.22, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 135, 12,  7,  216, 1, 3, 668802, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 528,  6, 15,  216, 1, 3, 714419, 25783.22, 42, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 709,  7, 13,  216, 1, 3, 720702, 25783.22, 0, 0.00, 1: 112; 2: 34; 3: 12; 
Lymphopoiesis_Regulatory_Network, 518,  9, 10,  216, 1, 3, 714443, 25783.22, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 983,  9, 10,  216, 1, 3, 714693, 25783.22, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 252,  6, 15,  216, 1, 3, 714290, 25783.22, 15, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network,  53,  8, 11,  216, 1, 3, 700508, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 857, 12,  7,  216, 1, 3, 668809, 25783.22, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 912,  6, 16,  216, 1, 3, 748479, 25783.22, 64, 0.00, 1: 111; 2: 36; 3: 11; 
Lymphopoiesis_Regulatory_Network,  58, 11,  8,  216, 1, 3, 700530, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network,  59, 11,  8,  216, 1, 3, 700511, 25783.22, 0, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 736,  9, 10,  216, 1, 3, 714460, 25783.22, 58, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 353,  8, 11,  216, 1, 3, 700530, 25783.22, 0, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 790, 11,  8,  216, 1, 3, 700574, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 699, 11,  8,  216, 1, 3, 700527, 25783.22, 0, 0.00, 1: 105; 2: 48; 3: 5; 
Lymphopoiesis_Regulatory_Network, 263,  9, 10,  216, 1, 3, 714709, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network,  74,  9, 10,  216, 1, 3, 714460, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 869,  6, 14,  216, 1, 3, 668734, 25783.22, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 555,  9, 10,  216, 1, 3, 714773, 25783.22, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 365,  7, 12,  217, 1, 3, 668821, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 622,  9, 10,  217, 1, 3, 714464, 25783.22, 0, 0.00, 1: 103; 2: 51; 3: 4; 
Lymphopoiesis_Regulatory_Network, 673,  9, 10,  217, 1, 3, 714263, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 274,  7, 13,  217, 1, 3, 720824, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 903,  7, 12,  217, 1, 3, 668720, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 602,  6, 16,  217, 1, 3, 748404, 25783.22, 0, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 214,  9,  9,  217, 1, 3, 644760, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 130, 12,  7,  217, 1, 3, 668632, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 590, 11,  8,  217, 1, 3, 700454, 25783.22, 0, 0.00, 1: 103; 2: 51; 3: 4; 
Lymphopoiesis_Regulatory_Network, 941,  9, 10,  217, 1, 3, 714233, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 821, 11,  8,  217, 1, 3, 700408, 25783.22, 0, 0.00, 1: 104; 2: 49; 3: 5; 
Lymphopoiesis_Regulatory_Network, 823,  6, 14,  217, 1, 3, 668741, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network,   9,  8, 11,  217, 1, 3, 700289, 25783.22, 96, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 515,  9, 10,  217, 1, 3, 714478, 25783.22, 0, 0.00, 1: 104; 2: 49; 3: 5; 
Lymphopoiesis_Regulatory_Network, 450,  6, 16,  217, 1, 3, 748119, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
