Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Lymphopoiesis_Regulatory_Network, 619,  7, 13,  200, 1, 3, 720844, 25754.62, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 788,  7, 13,  200, 1, 3, 721083, 25754.62, 19, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network,  56,  7, 13,  200, 1, 3, 720966, 25754.62, 7, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 621,  9, 10,  200, 1, 3, 714381, 25754.62, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 987, 11,  8,  200, 1, 3, 700424, 25754.62, 0, 0.00, 1: 121; 2: 32; 3: 5; 
Lymphopoiesis_Regulatory_Network, 766,  8, 11,  200, 1, 3, 700375, 25754.62, 0, 0.00, 1: 122; 2: 30; 3: 6; 
Lymphopoiesis_Regulatory_Network, 623, 11,  8,  200, 1, 3, 700451, 25754.62, 0, 0.00, 1: 119; 2: 36; 3: 3; 
Lymphopoiesis_Regulatory_Network, 260,  9, 10,  201, 1, 3, 714303, 25754.62, 19, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 597,  7, 13,  201, 1, 3, 720706, 25754.62, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 239, 11,  8,  201, 1, 3, 700635, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 349,  7, 13,  201, 1, 3, 720615, 25754.62, 0, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 635, 11,  8,  201, 1, 3, 700582, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 459,  9,  9,  201, 1, 3, 644760, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 672,  9, 10,  201, 1, 3, 714168, 25754.62, 56, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 721, 12,  7,  201, 1, 3, 668683, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 972,  7, 12,  201, 1, 3, 668801, 25754.62, 66, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 954,  9, 10,  201, 1, 3, 714641, 25754.62, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 942, 11,  8,  201, 1, 3, 700622, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 646,  9, 10,  201, 1, 3, 714547, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 780,  9, 10,  201, 1, 3, 714475, 25754.62, 77, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 507,  9, 10,  201, 1, 3, 714289, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 642,  8, 11,  201, 1, 3, 700515, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 342,  9, 10,  201, 1, 3, 713971, 25754.62, 0, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 838,  9,  9,  201, 1, 3, 644760, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 103, 11,  8,  201, 1, 3, 700634, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 254,  8, 11,  201, 1, 3, 700602, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
