Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
984(999)
Lymphopoiesis_Regulatory_Network, 425, 11,  8,  271, 0, 4, 700497, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 46; 3: 21; 4: 11; 
Lymphopoiesis_Regulatory_Network, 150,  7, 12,  271, 0, 4, 668713, 24166.97, 0, 0.00, 0: 8; 1: 67; 2: 55; 3: 18; 4: 10; 
Lymphopoiesis_Regulatory_Network, 735,  8, 11,  271, 0, 4, 700452, 24166.97, 0, 0.00, 0: 8; 1: 70; 2: 50; 3: 19; 4: 11; 
Lymphopoiesis_Regulatory_Network, 386,  8, 11,  271, 0, 4, 700390, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 42; 3: 23; 4: 11; 
Lymphopoiesis_Regulatory_Network, 821, 11,  8,  271, 0, 4, 700432, 24166.97, 0, 0.00, 0: 8; 1: 73; 2: 44; 3: 22; 4: 11; 
Lymphopoiesis_Regulatory_Network, 393,  6, 16,  271, 0, 4, 748346, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 39; 3: 23; 4: 12; 
Lymphopoiesis_Regulatory_Network, 514, 11,  8,  271, 0, 4, 700364, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 34; 3: 27; 4: 11; 
Lymphopoiesis_Regulatory_Network, 851,  9, 10,  271, 0, 4, 714369, 24166.97, 0, 0.00, 0: 8; 1: 68; 2: 50; 3: 25; 4: 7; 
Lymphopoiesis_Regulatory_Network, 239, 11,  8,  271, 0, 4, 700502, 24166.97, 0, 0.00, 0: 8; 1: 74; 2: 42; 3: 23; 4: 11; 
Lymphopoiesis_Regulatory_Network, 181, 11,  8,  271, 0, 4, 700463, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 48; 3: 20; 4: 11; 
Lymphopoiesis_Regulatory_Network, 635, 11,  8,  271, 0, 4, 700400, 24166.97, 0, 0.00, 0: 8; 1: 69; 2: 51; 3: 20; 4: 10; 
Lymphopoiesis_Regulatory_Network, 631,  7, 12,  271, 0, 4, 668699, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 48; 3: 20; 4: 11; 
Lymphopoiesis_Regulatory_Network, 110,  9, 10,  271, 0, 4, 714478, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 44; 3: 28; 4: 7; 
