Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(849)
IL-6_Signalling, 129, 10,  9,  292, 1, 4, 720344, 22638.55, 0, 0.00, 1: 68; 2: 35; 3: 30; 4: 16; 
IL-6_Signalling, 124,  8, 12,  292, 1, 4, 759946, 22638.55, 61, 0.00, 1: 59; 2: 51; 3: 25; 4: 14; 
IL-6_Signalling,  96, 11,  8,  292, 1, 4, 704352, 22638.55, 8, 0.00, 1: 64; 2: 43; 3: 26; 4: 16; 
IL-6_Signalling, 452,  8, 11,  292, 1, 4, 704352, 22638.55, 42, 0.00, 1: 64; 2: 43; 3: 26; 4: 16; 
IL-6_Signalling, 117, 11,  8,  292, 1, 4, 704352, 22638.55, 0, 0.00, 1: 64; 2: 42; 3: 28; 4: 15; 
IL-6_Signalling, 724,  9, 10,  292, 1, 4, 720354, 22638.55, 19, 0.00, 1: 66; 2: 38; 3: 30; 4: 15; 
IL-6_Signalling, 277,  8, 12,  292, 1, 4, 759900, 22638.55, 0, 0.00, 1: 59; 2: 49; 3: 29; 4: 12; 
IL-6_Signalling, 614,  9, 10,  292, 1, 4, 720358, 22638.55, 0, 0.00, 1: 64; 2: 44; 3: 24; 4: 17; 
IL-6_Signalling, 818,  8, 12,  292, 1, 4, 760060, 22638.55, 0, 0.00, 1: 61; 2: 48; 3: 25; 4: 15; 
IL-6_Signalling, 210, 11,  8,  292, 1, 4, 704352, 22638.55, 0, 0.00, 1: 57; 2: 53; 3: 27; 4: 12; 
IL-6_Signalling, 219,  8, 12,  292, 1, 4, 759982, 22638.55, 0, 0.00, 1: 62; 2: 45; 3: 28; 4: 14; 
IL-6_Signalling, 985, 10,  9,  292, 1, 4, 720355, 22638.55, 0, 0.00, 1: 65; 2: 42; 3: 25; 4: 17; 
IL-6_Signalling, 379, 10,  9,  292, 1, 4, 720339, 22638.55, 0, 0.00, 1: 66; 2: 35; 3: 36; 4: 12; 
IL-6_Signalling, 541,  8, 11,  292, 1, 4, 704352, 22638.55, 0, 0.00, 1: 63; 2: 45; 3: 25; 4: 16; 
IL-6_Signalling, 501,  8, 12,  292, 1, 4, 760115, 22638.55, 0, 0.00, 1: 64; 2: 42; 3: 28; 4: 15; 
IL-6_Signalling, 652,  9, 10,  292, 1, 4, 720371, 22638.55, 44, 0.00, 1: 64; 2: 37; 3: 38; 4: 10; 
IL-6_Signalling, 672,  8, 12,  292, 1, 4, 760058, 22638.55, 53, 0.00, 1: 64; 2: 42; 3: 28; 4: 15; 
IL-6_Signalling, 644, 11,  8,  293, 1, 4, 704352, 22638.55, 8, 0.00, 1: 62; 2: 44; 3: 29; 4: 14; 
IL-6_Signalling, 547, 10,  9,  293, 1, 4, 720377, 22638.55, 0, 0.00, 1: 64; 2: 44; 3: 23; 4: 18; 
IL-6_Signalling, 142,  9, 10,  293, 1, 4, 720348, 22638.55, 0, 0.00, 1: 66; 2: 40; 3: 25; 4: 18; 
IL-6_Signalling, 687,  9, 10,  293, 1, 4, 720365, 22638.55, 0, 0.00, 1: 66; 2: 38; 3: 29; 4: 16; 
IL-6_Signalling, 461, 11,  8,  293, 1, 4, 704352, 22638.55, 0, 0.00, 1: 67; 2: 40; 3: 22; 4: 20; 
IL-6_Signalling, 395,  8, 11,  293, 1, 4, 704352, 22638.55, 0, 0.00, 1: 67; 2: 36; 3: 30; 4: 16; 
IL-6_Signalling, 433,  8, 12,  293, 1, 4, 759895, 22638.55, 0, 0.00, 1: 63; 2: 40; 3: 34; 4: 12; 
IL-6_Signalling, 108,  8, 12,  293, 1, 4, 759930, 22638.55, 60, 0.00, 1: 66; 2: 39; 3: 27; 4: 17; 
IL-6_Signalling, 416,  9, 10,  293, 1, 4, 720373, 22638.55, 33, 0.00, 1: 63; 2: 41; 3: 32; 4: 13; 
IL-6_Signalling, 409,  8, 12,  293, 1, 4, 760063, 22638.55, 0, 0.00, 1: 61; 2: 48; 3: 24; 4: 16; 
IL-6_Signalling,   0,  8, 12,  293, 1, 4, 759911, 22638.55, 240, 0.00, 1: 67; 2: 39; 3: 24; 4: 19; 
IL-6_Signalling, 864,  8, 12,  293, 1, 4, 759980, 22638.55, 70, 0.00, 1: 61; 2: 49; 3: 22; 4: 17; 
IL-6_Signalling,  52,  8, 12,  293, 1, 4, 759916, 22638.55, 5, 0.00, 1: 60; 2: 50; 3: 23; 4: 16; 
IL-6_Signalling, 899, 10,  9,  293, 1, 4, 720375, 22638.55, 0, 0.00, 1: 64; 2: 42; 3: 27; 4: 16; 
IL-6_Signalling, 840, 10,  9,  293, 1, 4, 720342, 22638.55, 70, 0.00, 1: 63; 2: 43; 3: 28; 4: 15; 
IL-6_Signalling, 253,  8, 11,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 61; 2: 46; 3: 27; 4: 15; 
IL-6_Signalling, 349, 11,  8,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 58; 2: 51; 3: 26; 4: 14; 
IL-6_Signalling, 765,  8, 11,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 63; 2: 43; 3: 27; 4: 16; 
