Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(241)
IL-6_Signalling, 816,  8, 11,  204, 1, 3, 704352, 23298.32, 69, 0.00, 1: 97; 2: 49; 3: 3; 
IL-6_Signalling, 575,  7, 13,  204, 1, 3, 727769, 23298.32, 0, 0.00, 1: 103; 2: 37; 3: 9; 
IL-6_Signalling, 735, 11,  8,  204, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 988, 11,  8,  204, 1, 3, 704352, 23298.32, 71, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 461, 11,  8,  204, 1, 3, 704352, 23298.32, 0, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 965,  8, 12,  204, 1, 3, 760125, 23298.32, 0, 0.00, 1: 100; 2: 43; 3: 6; 
IL-6_Signalling, 104, 11,  8,  204, 1, 3, 704352, 23298.32, 8, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 790,  8, 11,  204, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 127,  8, 12,  204, 1, 3, 760080, 23298.32, 0, 0.00, 1: 98; 2: 47; 3: 4; 
IL-6_Signalling, 861, 11,  8,  204, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 43; 3: 6; 
IL-6_Signalling, 979,  8, 12,  204, 1, 3, 759981, 23298.32, 0, 0.00, 1: 103; 2: 37; 3: 9; 
IL-6_Signalling,  31,  7, 13,  204, 1, 3, 727878, 23298.32, 0, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 634,  8, 12,  204, 1, 3, 760057, 23298.32, 0, 0.00, 1: 98; 2: 47; 3: 4; 
IL-6_Signalling, 260, 10,  9,  204, 1, 3, 720419, 23298.32, 23, 0.00, 1: 102; 2: 39; 3: 8; 
IL-6_Signalling, 427, 10,  9,  204, 1, 3, 720334, 23298.32, 0, 0.00, 1: 99; 2: 45; 3: 5; 
IL-6_Signalling, 608,  8, 12,  204, 1, 3, 760087, 23298.32, 48, 0.00, 1: 101; 2: 41; 3: 7; 
IL-6_Signalling, 661,  7, 14,  204, 1, 3, 775028, 23298.32, 0, 0.00, 1: 103; 2: 37; 3: 9; 
IL-6_Signalling, 500, 10,  9,  204, 1, 3, 720279, 23298.32, 78, 0.00, 1: 100; 2: 43; 3: 6; 
IL-6_Signalling,  11,  8, 12,  204, 1, 3, 760032, 23298.32, 22, 0.00, 1: 97; 2: 49; 3: 3; 
IL-6_Signalling, 318,  7, 14,  204, 1, 3, 775310, 23298.32, 0, 0.00, 1: 98; 2: 47; 3: 4; 
IL-6_Signalling, 480,  9, 10,  204, 1, 3, 720357, 23298.32, 38, 0.00, 1: 100; 2: 43; 3: 6; 
IL-6_Signalling, 778, 11,  8,  205, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 401,  9, 10,  205, 1, 3, 720303, 23298.32, 0, 0.00, 1: 102; 2: 38; 3: 9; 
IL-6_Signalling, 972,  8, 12,  205, 1, 3, 759837, 23298.32, 37, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 779,  7, 14,  205, 1, 3, 775308, 23298.32, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 907,  7, 13,  205, 1, 3, 727760, 23298.32, 0, 0.00, 1: 97; 2: 48; 3: 4; 
IL-6_Signalling, 985, 10,  9,  205, 1, 3, 720322, 23298.32, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 122,  8, 11,  205, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 397,  9, 10,  205, 1, 3, 720343, 23298.32, 0, 0.00, 1: 97; 2: 48; 3: 4; 
IL-6_Signalling, 772, 11,  8,  205, 1, 3, 704352, 23298.32, 40, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 129, 10,  9,  205, 1, 3, 720385, 23298.32, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling,  18,  8, 11,  205, 1, 3, 704352, 23298.32, 101, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 413,  9, 10,  205, 1, 3, 720362, 23298.32, 0, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 317,  6, 15,  205, 1, 3, 720382, 23298.32, 0, 0.00, 1: 106; 2: 30; 3: 13; 
IL-6_Signalling, 796, 11,  8,  205, 1, 3, 704352, 23298.32, 65, 0.00, 1: 97; 2: 48; 3: 4; 
IL-6_Signalling, 715,  7, 14,  205, 1, 3, 775035, 23298.32, 0, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 523,  8, 12,  205, 1, 3, 760184, 23298.32, 0, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 693, 10,  9,  205, 1, 3, 720378, 23298.32, 0, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 599,  9, 10,  205, 1, 3, 720324, 23298.32, 0, 0.00, 1: 96; 2: 50; 3: 3; 
IL-6_Signalling, 436,  8, 12,  205, 1, 3, 759864, 23298.32, 17, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 273,  7, 14,  205, 1, 3, 775386, 23298.32, 0, 0.00, 1: 103; 2: 36; 3: 10; 
IL-6_Signalling, 754,  7, 14,  205, 1, 3, 774888, 23298.32, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling,  49,  8, 12,  205, 1, 3, 760044, 23298.32, 0, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 324,  9, 10,  205, 1, 3, 720365, 23298.32, 32, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 759,  6, 17,  206, 1, 3, 797201, 23298.32, 0, 0.00, 1: 102; 2: 37; 3: 10; 
IL-6_Signalling, 753,  6, 17,  206, 1, 3, 796941, 23298.32, 0, 0.00, 1: 100; 2: 41; 3: 8; 
IL-6_Signalling, 766, 10,  9,  206, 1, 3, 720366, 23298.32, 0, 0.00, 1: 100; 2: 41; 3: 8; 
IL-6_Signalling, 609,  9, 10,  206, 1, 3, 720339, 23298.32, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 593, 11,  8,  206, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 41; 3: 8; 
IL-6_Signalling, 940,  9, 10,  206, 1, 3, 720401, 23298.32, 78, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling, 978,  7, 13,  206, 1, 3, 727816, 23298.32, 0, 0.00, 1: 100; 2: 41; 3: 8; 
IL-6_Signalling, 934, 10,  9,  206, 1, 3, 720314, 23298.32, 0, 0.00, 1: 100; 2: 41; 3: 8; 
IL-6_Signalling, 607,  9, 10,  206, 1, 3, 720346, 23298.32, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 508, 10,  9,  206, 1, 3, 720365, 23298.32, 33, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 474,  8, 12,  206, 1, 3, 759843, 23298.32, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 539,  8, 11,  206, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 568,  7, 13,  206, 1, 3, 727942, 23298.32, 46, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling,  47,  8, 12,  206, 1, 3, 759886, 23298.32, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 906,  9, 10,  206, 1, 3, 720353, 23298.32, 0, 0.00, 1: 102; 2: 37; 3: 10; 
IL-6_Signalling,  95, 10,  9,  206, 1, 3, 720435, 23298.32, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 572, 11,  8,  206, 1, 3, 704352, 23298.32, 18, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 378,  7, 13,  206, 1, 3, 727910, 23298.32, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 810, 11,  8,  206, 1, 3, 704352, 23298.32, 0, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling,  44,  9, 10,  206, 1, 3, 720321, 23298.32, 2, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 460,  8, 12,  206, 1, 3, 760118, 23298.32, 4, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling, 959, 11,  8,  206, 1, 3, 704352, 23298.32, 0, 0.00, 1: 95; 2: 51; 3: 3; 
