Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
macrophave_activation, 308, 17, 19,  899, 1, 6, 2600114, 75543.10, 0, 0.00, 1: 291; 2: 141; 3: 49; 4: 26; 5: 9; 6: 5; 
macrophave_activation, 837, 14, 24,  899, 1, 6, 2695915, 75543.10, 0, 0.00, 1: 307; 2: 125; 3: 46; 4: 20; 5: 14; 6: 9; 
macrophave_activation, 683, 16, 21,  899, 1, 6, 2696021, 75543.10, 142, 0.00, 1: 298; 2: 132; 3: 47; 4: 29; 5: 10; 6: 5; 
macrophave_activation, 522, 18, 18,  900, 1, 6, 2616163, 75543.10, 240, 0.00, 1: 302; 2: 132; 3: 43; 4: 22; 5: 15; 6: 7; 
macrophave_activation, 219, 18, 18,  900, 1, 6, 2616143, 75543.10, 142, 0.00, 1: 300; 2: 132; 3: 43; 4: 27; 5: 15; 6: 4; 
macrophave_activation, 464, 17, 20,  900, 1, 6, 2757578, 75543.10, 98, 0.00, 1: 300; 2: 127; 3: 54; 4: 22; 5: 12; 6: 6; 
macrophave_activation, 946, 17, 20,  900, 1, 6, 2757857, 75543.10, 0, 0.00, 1: 307; 2: 124; 3: 41; 4: 27; 5: 18; 6: 4; 
macrophave_activation, 785, 13, 26,  900, 1, 6, 2727113, 75543.10, 0, 0.00, 1: 302; 2: 129; 3: 44; 4: 26; 5: 16; 6: 4; 
macrophave_activation, 818, 19, 17,  900, 1, 6, 2600095, 75543.10, 0, 0.00, 1: 305; 2: 121; 3: 52; 4: 23; 5: 15; 6: 5; 
macrophave_activation, 928, 17, 19,  900, 1, 6, 2600105, 75543.10, 167, 0.00, 1: 303; 2: 128; 3: 45; 4: 24; 5: 16; 6: 5; 
macrophave_activation, 875, 15, 22,  900, 1, 6, 2658227, 75543.10, 142, 0.00, 1: 303; 2: 125; 3: 53; 4: 20; 5: 12; 6: 8; 
macrophave_activation, 665, 18, 18,  900, 1, 6, 2616148, 75543.10, 58, 0.00, 1: 293; 2: 135; 3: 52; 4: 27; 5: 11; 6: 3; 
macrophave_activation, 501, 19, 17,  901, 1, 6, 2600061, 75543.10, 0, 0.00, 1: 303; 2: 130; 3: 41; 4: 27; 5: 13; 6: 7; 
macrophave_activation, 920, 17, 19,  901, 1, 6, 2600101, 75543.10, 160, 0.00, 1: 297; 2: 136; 3: 46; 4: 23; 5: 12; 6: 7; 
macrophave_activation, 559, 15, 22,  901, 1, 6, 2658119, 75543.10, 0, 0.00, 1: 298; 2: 139; 3: 41; 4: 21; 5: 14; 6: 8; 
