Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 866,  8, 12,  204, 1, 3, 760412, 20184.74, 0, 0.00, 1: 100; 2: 43; 3: 6; 
IL-6_Signalling, 506, 10,  9,  204, 1, 3, 720409, 20184.74, 0, 0.00, 1: 101; 2: 41; 3: 7; 
IL-6_Signalling, 906,  9, 10,  205, 1, 3, 720493, 20184.74, 0, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 473,  9, 10,  205, 1, 3, 720339, 20184.74, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 436,  8, 12,  205, 1, 3, 760547, 20184.74, 17, 0.00, 1: 103; 2: 36; 3: 10; 
IL-6_Signalling,  24, 10,  9,  205, 1, 3, 720093, 20184.74, 128, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 397,  9, 10,  205, 1, 3, 720326, 20184.74, 0, 0.00, 1: 97; 2: 48; 3: 4; 
IL-6_Signalling, 923, 11,  8,  205, 1, 3, 704352, 20184.74, 0, 0.00, 1: 94; 2: 54; 3: 1; 
IL-6_Signalling, 300,  9, 10,  205, 1, 3, 720461, 20184.74, 71, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling,  94, 11,  8,  205, 1, 3, 704352, 20184.74, 0, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 895,  6, 16,  205, 1, 3, 760147, 20184.74, 0, 0.00, 1: 102; 2: 38; 3: 9; 
IL-6_Signalling, 846,  9, 10,  205, 1, 3, 720265, 20184.74, 0, 0.00, 1: 100; 2: 42; 3: 7; 
IL-6_Signalling, 570,  8, 12,  205, 1, 3, 759709, 20184.74, 0, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 160,  8, 12,  205, 1, 3, 759631, 20184.74, 13, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 180,  8, 11,  205, 1, 3, 704352, 20184.74, 68, 0.00, 1: 99; 2: 44; 3: 6; 
IL-6_Signalling, 985, 10,  9,  205, 1, 3, 720419, 20184.74, 0, 0.00, 1: 102; 2: 38; 3: 9; 
IL-6_Signalling, 511, 10,  9,  205, 1, 3, 720481, 20184.74, 0, 0.00, 1: 101; 2: 40; 3: 8; 
IL-6_Signalling, 135,  8, 11,  205, 1, 3, 704352, 20184.74, 0, 0.00, 1: 102; 2: 38; 3: 9; 
IL-6_Signalling, 605, 10,  9,  205, 1, 3, 720409, 20184.74, 0, 0.00, 1: 97; 2: 48; 3: 4; 
IL-6_Signalling, 263, 10,  9,  206, 1, 3, 720437, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 401,  9, 10,  206, 1, 3, 720379, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 621,  7, 13,  206, 1, 3, 727590, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 956,  8, 12,  206, 1, 3, 760469, 20184.74, 82, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling, 523,  8, 12,  206, 1, 3, 759831, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 625, 11,  8,  206, 1, 3, 704352, 20184.74, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 376,  8, 12,  206, 1, 3, 760527, 20184.74, 30, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 350,  8, 12,  206, 1, 3, 760183, 20184.74, 0, 0.00, 1: 98; 2: 45; 3: 6; 
IL-6_Signalling, 550,  8, 12,  206, 1, 3, 760134, 20184.74, 0, 0.00, 1: 97; 2: 47; 3: 5; 
