Seed 1656949570
ARCH 0|F_ID 1|LIMIT 5
before: 
16(471)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 585,  8,  8,  463, 0, 6, 506554, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 52; 3: 38; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 320,  7,  9,  467, 0, 6, 499176, 22393.59, 1, 0.00, 0: 5; 1: 54; 2: 61; 3: 35; 4: 18; 5: 18; 6: 4; 
T-LGL_Survival_Network_2011, 112,  7,  9,  468, 0, 6, 499222, 22393.59, 1, 0.00, 0: 5; 1: 55; 2: 58; 3: 35; 4: 23; 5: 14; 6: 5; 
T-LGL_Survival_Network_2011, 984,  9,  7,  468, 0, 6, 499209, 22393.59, 30, 0.00, 0: 5; 1: 50; 2: 63; 3: 39; 4: 19; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 161,  8,  8,  468, 0, 6, 506491, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 65; 3: 34; 4: 21; 5: 13; 6: 6; 
T-LGL_Survival_Network_2011,  90,  9,  7,  468, 0, 6, 499174, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 49; 3: 42; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 173,  9,  7,  468, 0, 6, 499191, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 57; 3: 36; 4: 27; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 177,  8,  8,  468, 0, 6, 506466, 22393.59, 0, 0.00, 0: 5; 1: 59; 2: 49; 3: 40; 4: 23; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 805,  8,  8,  468, 0, 6, 506475, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 53; 3: 44; 4: 22; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 179,  9,  7,  468, 0, 6, 499223, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 54; 3: 40; 4: 25; 5: 11; 6: 5; 
T-LGL_Survival_Network_2011, 645,  7,  9,  468, 0, 6, 499186, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 58; 3: 33; 4: 26; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 760,  8,  8,  468, 0, 6, 506499, 22393.59, 21, 0.00, 0: 5; 1: 53; 2: 59; 3: 37; 4: 24; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 609,  7,  9,  468, 0, 6, 499218, 22393.59, 0, 0.00, 0: 5; 1: 49; 2: 62; 3: 41; 4: 22; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 217,  8,  8,  468, 0, 6, 506466, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 65; 3: 32; 4: 27; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 754,  8,  8,  469, 0, 6, 506506, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 55; 3: 33; 4: 29; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 823,  8,  8,  469, 0, 6, 506397, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 61; 3: 37; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 806,  7,  9,  469, 0, 6, 499178, 22393.59, 0, 0.00, 0: 5; 1: 57; 2: 52; 3: 40; 4: 23; 5: 12; 6: 6; 
T-LGL_Survival_Network_2011, 359,  7,  9,  469, 0, 6, 499169, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 48; 3: 43; 4: 23; 5: 14; 6: 4; 
