Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Lymphopoiesis_Regulatory_Network, 344, 11,  8,  201, 1, 3, 699698, 20467.92, 19, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 635, 11,  8,  201, 1, 3, 700638, 20467.92, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 217,  8, 11,  201, 1, 3, 700548, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 186, 12,  7,  201, 1, 3, 668681, 20467.92, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 798,  8, 11,  201, 1, 3, 700915, 20467.92, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 799,  7, 12,  201, 1, 3, 668691, 20467.92, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 489,  9, 10,  201, 1, 3, 714624, 20467.92, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 664,  7, 13,  201, 1, 3, 720759, 20467.92, 56, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 575,  8, 11,  202, 1, 3, 700904, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 269,  7, 12,  202, 1, 3, 668802, 20467.92, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 141, 11,  8,  202, 1, 3, 700830, 20467.92, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 325,  6, 14,  202, 1, 3, 668902, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 578, 11,  8,  202, 1, 3, 700585, 20467.92, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 857, 12,  7,  202, 1, 3, 668579, 20467.92, 0, 0.00, 1: 121; 2: 30; 3: 7; 
Lymphopoiesis_Regulatory_Network, 613,  6, 14,  202, 1, 3, 668446, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 860,  7, 13,  202, 1, 3, 720741, 20467.92, 14, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 646,  9, 10,  202, 1, 3, 714880, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 615, 11,  8,  202, 1, 3, 700199, 20467.92, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 870,  7, 13,  202, 1, 3, 720599, 20467.92, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 117, 12,  7,  202, 1, 3, 668436, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 618, 12,  7,  202, 1, 3, 668823, 20467.92, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 637,  7, 13,  202, 1, 3, 720889, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 353,  8, 11,  202, 1, 3, 700631, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 342,  9, 10,  202, 1, 3, 714130, 20467.92, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 567,  8, 11,  202, 1, 3, 700421, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 471,  7, 13,  202, 1, 3, 720565, 20467.92, 0, 0.00, 1: 122; 2: 28; 3: 8; 
Lymphopoiesis_Regulatory_Network, 932, 11,  8,  202, 1, 3, 700221, 20467.92, 18, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 465, 12,  7,  202, 1, 3, 668831, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 800,  9,  9,  202, 1, 3, 644760, 20467.92, 61, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 805,  9,  9,  202, 1, 3, 644760, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 498,  9, 10,  202, 1, 3, 712922, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 222, 11,  8,  202, 1, 3, 699977, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network,  33,  9, 10,  202, 1, 3, 713127, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 238, 11,  8,  202, 1, 3, 700038, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 816, 11,  8,  202, 1, 3, 699340, 20467.92, 61, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 442,  9, 10,  202, 1, 3, 714396, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 175,  9, 10,  202, 1, 3, 714528, 20467.92, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 742,  6, 16,  202, 1, 3, 748027, 20467.92, 0, 0.00, 1: 119; 2: 34; 3: 5; 
