Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
153(237)
Lymphopoiesis_Regulatory_Network, 813,  8, 11,  215, 1, 3, 700895, 20443.05, 0, 0.00, 1: 105; 2: 49; 3: 4; 
Lymphopoiesis_Regulatory_Network, 915,  6, 15,  215, 1, 3, 714545, 20443.05, 0, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network, 273,  7, 12,  215, 1, 3, 668670, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 187,  6, 14,  215, 1, 3, 668653, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 879, 11,  8,  215, 1, 3, 700489, 20443.05, 0, 0.00, 1: 108; 2: 43; 3: 7; 
Lymphopoiesis_Regulatory_Network, 186, 12,  7,  215, 1, 3, 668589, 20443.05, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 256,  9, 10,  215, 1, 3, 714374, 20443.05, 18, 0.00, 1: 105; 2: 49; 3: 4; 
Lymphopoiesis_Regulatory_Network, 259,  9, 10,  215, 1, 3, 714613, 20443.05, 0, 0.00, 1: 107; 2: 45; 3: 6; 
Lymphopoiesis_Regulatory_Network, 626,  8, 11,  215, 1, 3, 699828, 20443.05, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 235, 11,  8,  215, 1, 3, 700271, 20443.05, 0, 0.00, 1: 106; 2: 47; 3: 5; 
Lymphopoiesis_Regulatory_Network, 425, 11,  8,  215, 1, 3, 700554, 20443.05, 0, 0.00, 1: 109; 2: 41; 3: 8; 
Lymphopoiesis_Regulatory_Network, 503,  8, 11,  215, 1, 3, 700321, 20443.05, 0, 0.00, 1: 106; 2: 47; 3: 5; 
