Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 822, 10,  9,  293, 1, 4, 720349, 62553.50, 0, 0.00, 1: 46; 2: 65; 3: 35; 4: 3; 
IL-6_Signalling, 630, 11,  8,  293, 1, 4, 704352, 62553.50, 0, 0.00, 1: 50; 2: 58; 3: 37; 4: 4; 
IL-6_Signalling,  10, 10,  9,  293, 1, 4, 720344, 62553.50, 187, 0.00, 1: 46; 2: 65; 3: 35; 4: 3; 
IL-6_Signalling, 398,  8, 12,  293, 1, 4, 760120, 62553.50, 0, 0.00, 1: 50; 2: 58; 3: 37; 4: 4; 
IL-6_Signalling, 116, 11,  8,  293, 1, 4, 704352, 62553.50, 85, 0.00, 1: 52; 2: 55; 3: 37; 4: 5; 
IL-6_Signalling, 742,  8, 12,  293, 1, 4, 760038, 62553.50, 0, 0.00, 1: 51; 2: 59; 3: 32; 4: 7; 
IL-6_Signalling, 533,  9, 10,  293, 1, 4, 720339, 62553.50, 0, 0.00, 1: 44; 2: 70; 3: 31; 4: 4; 
IL-6_Signalling, 887,  8, 12,  293, 1, 4, 759952, 62553.50, 0, 0.00, 1: 51; 2: 58; 3: 34; 4: 6; 
IL-6_Signalling, 131, 11,  8,  293, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 64; 3: 31; 4: 6; 
IL-6_Signalling, 325, 11,  8,  293, 1, 4, 704352, 62553.50, 0, 0.00, 1: 50; 2: 60; 3: 33; 4: 6; 
IL-6_Signalling, 326, 11,  8,  293, 1, 4, 704352, 62553.50, 0, 0.00, 1: 52; 2: 56; 3: 35; 4: 6; 
IL-6_Signalling, 205, 10,  9,  293, 1, 4, 720383, 62553.50, 0, 0.00, 1: 50; 2: 61; 3: 31; 4: 7; 
IL-6_Signalling, 866,  8, 12,  293, 1, 4, 759820, 62553.50, 0, 0.00, 1: 49; 2: 64; 3: 28; 4: 8; 
IL-6_Signalling, 111,  9, 10,  294, 1, 4, 720368, 62553.50, 0, 0.00, 1: 49; 2: 61; 3: 33; 4: 6; 
IL-6_Signalling, 899, 10,  9,  294, 1, 4, 720356, 62553.50, 0, 0.00, 1: 52; 2: 54; 3: 38; 4: 5; 
IL-6_Signalling, 177, 10,  9,  294, 1, 4, 720359, 62553.50, 0, 0.00, 1: 53; 2: 53; 3: 37; 4: 6; 
IL-6_Signalling, 733, 11,  8,  294, 1, 4, 704352, 62553.50, 0, 0.00, 1: 49; 2: 60; 3: 35; 4: 5; 
IL-6_Signalling, 452,  8, 11,  294, 1, 4, 704352, 62553.50, 42, 0.00, 1: 45; 2: 69; 3: 29; 4: 6; 
IL-6_Signalling, 751, 11,  8,  294, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 64; 3: 33; 4: 5; 
IL-6_Signalling,  71,  8, 12,  294, 1, 4, 760134, 62553.50, 0, 0.00, 1: 48; 2: 63; 3: 32; 4: 6; 
IL-6_Signalling,  46,  8, 11,  294, 1, 4, 704352, 62553.50, 0, 0.00, 1: 50; 2: 56; 3: 40; 4: 3; 
IL-6_Signalling, 436,  8, 12,  295, 1, 4, 760096, 62553.50, 17, 0.00, 1: 49; 2: 57; 3: 40; 4: 3; 
IL-6_Signalling, 456, 10,  9,  295, 1, 4, 720359, 62553.50, 34, 0.00, 1: 47; 2: 61; 3: 38; 4: 3; 
IL-6_Signalling,  95, 10,  9,  295, 1, 4, 720357, 62553.50, 0, 0.00, 1: 49; 2: 62; 3: 30; 4: 8; 
IL-6_Signalling, 619, 11,  8,  295, 1, 4, 704352, 62553.50, 0, 0.00, 1: 50; 2: 59; 3: 33; 4: 7; 
IL-6_Signalling, 260, 10,  9,  295, 1, 4, 720362, 62553.50, 23, 0.00, 1: 46; 2: 68; 3: 27; 4: 8; 
IL-6_Signalling, 538, 10,  9,  295, 1, 4, 720326, 62553.50, 0, 0.00, 1: 46; 2: 66; 3: 31; 4: 6; 
IL-6_Signalling, 252,  7, 13,  295, 1, 4, 727830, 62553.50, 61, 0.00, 1: 49; 2: 62; 3: 30; 4: 8; 
IL-6_Signalling, 263, 10,  9,  295, 1, 4, 720341, 62553.50, 0, 0.00, 1: 46; 2: 66; 3: 31; 4: 6; 
IL-6_Signalling, 675,  8, 12,  295, 1, 4, 760074, 62553.50, 0, 0.00, 1: 51; 2: 56; 3: 36; 4: 6; 
IL-6_Signalling, 809, 10,  9,  295, 1, 4, 720354, 62553.50, 0, 0.00, 1: 41; 2: 74; 3: 30; 4: 4; 
IL-6_Signalling, 903,  7, 14,  295, 1, 4, 775215, 62553.50, 0, 0.00, 1: 49; 2: 60; 3: 34; 4: 6; 
IL-6_Signalling, 709, 10,  9,  295, 1, 4, 720352, 62553.50, 0, 0.00, 1: 41; 2: 73; 3: 32; 4: 3; 
IL-6_Signalling, 353, 10,  9,  295, 1, 4, 720354, 62553.50, 0, 0.00, 1: 50; 2: 55; 3: 41; 4: 3; 
IL-6_Signalling, 203,  9, 10,  296, 1, 4, 720393, 62553.50, 0, 0.00, 1: 48; 2: 60; 3: 36; 4: 5; 
IL-6_Signalling, 594,  9, 10,  296, 1, 4, 720313, 62553.50, 0, 0.00, 1: 49; 2: 58; 3: 37; 4: 5; 
IL-6_Signalling, 712,  8, 11,  296, 1, 4, 704352, 62553.50, 57, 0.00, 1: 48; 2: 59; 3: 38; 4: 4; 
IL-6_Signalling,  97,  8, 12,  296, 1, 4, 760114, 62553.50, 0, 0.00, 1: 50; 2: 56; 3: 38; 4: 5; 
IL-6_Signalling, 973, 11,  8,  296, 1, 4, 704352, 62553.50, 0, 0.00, 1: 45; 2: 65; 3: 35; 4: 4; 
IL-6_Signalling, 609,  9, 10,  296, 1, 4, 720323, 62553.50, 0, 0.00, 1: 46; 2: 63; 3: 36; 4: 4; 
IL-6_Signalling, 979,  8, 12,  296, 1, 4, 760018, 62553.50, 0, 0.00, 1: 44; 2: 67; 3: 34; 4: 4; 
IL-6_Signalling, 836,  8, 11,  296, 1, 4, 704352, 62553.50, 81, 0.00, 1: 43; 2: 69; 3: 33; 4: 4; 
IL-6_Signalling, 362,  8, 12,  296, 1, 4, 759969, 62553.50, 0, 0.00, 1: 46; 2: 63; 3: 36; 4: 4; 
IL-6_Signalling, 717,  9, 10,  296, 1, 4, 720350, 62553.50, 0, 0.00, 1: 50; 2: 56; 3: 38; 4: 5; 
IL-6_Signalling, 401,  9, 10,  296, 1, 4, 720350, 62553.50, 0, 0.00, 1: 43; 2: 69; 3: 33; 4: 4; 
IL-6_Signalling, 226, 10,  9,  296, 1, 4, 720340, 62553.50, 0, 0.00, 1: 48; 2: 57; 3: 42; 4: 2; 
