Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(850)
Melhor resultado nxn: Apoptosis_network, 383,  5, 10,   84, 1, 2, 383475, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 519,  6,  8,   87, 1, 2, 371851, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 263,  5, 10,   87, 1, 2, 383932, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 530,  4, 11,   87, 1, 2, 346166, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 532,  9,  5,   87, 1, 2, 353382, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 923,  4, 12,   87, 1, 2, 371722, 22668.48, 20, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 544,  5,  9,   87, 1, 2, 353287, 22668.48, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 956,  5, 10,   87, 1, 2, 384361, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 141,  4, 12,   87, 1, 2, 371849, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 280,  5,  9,   87, 1, 2, 353340, 22668.48, 168, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 135,  4, 11,   87, 1, 2, 346191, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,   0,  6,  8,   87, 1, 2, 371879, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 384,  5, 10,   87, 1, 2, 384064, 22668.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 445,  6,  8,   87, 1, 2, 371893, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 937,  7,  6,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 435,  9,  5,   87, 1, 2, 353204, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 203,  7,  6,   87, 1, 2, 330624, 22668.48, 20, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 424,  9,  5,   87, 1, 2, 353058, 22668.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 422,  5,  9,   87, 1, 2, 353146, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 207,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 226,  5,  9,   87, 1, 2, 353319, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 447,  4, 12,   87, 1, 2, 371847, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 417,  5, 10,   87, 1, 2, 384108, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 388,  6,  8,   87, 1, 2, 371849, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 210,  4, 11,   87, 1, 2, 346100, 22668.48, 190, 0.00, 1: 59; 2: 14; 
