Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
3(614)
Apoptosis_network, 268,  6,  8,  116, 1, 3, 371832, 23851.12, 183, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 134,  5,  9,  116, 1, 3, 353282, 23851.12, 0, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 959,  5,  9,  116, 1, 3, 353214, 23851.12, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 896,  7,  6,  116, 1, 3, 330624, 23851.12, 96, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 135,  4, 11,  116, 1, 3, 346122, 23851.12, 0, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 950,  6,  7,  116, 1, 3, 330624, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 973,  5,  9,  116, 1, 3, 353224, 23851.12, 85, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 971,  6,  7,  116, 1, 3, 330624, 23851.12, 10, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 209,  9,  5,  116, 1, 3, 353314, 23851.12, 164, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 966,  5, 10,  116, 1, 3, 383470, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 699,  6,  8,  116, 1, 3, 371889, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 520,  5,  9,  116, 1, 3, 353211, 23851.12, 48, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 505,  6,  8,  116, 1, 3, 372021, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 494,  5, 10,  116, 1, 3, 384124, 23851.12, 32, 0.00, 1: 41; 2: 21; 3: 11; 
Apoptosis_network, 489,  7,  6,  116, 1, 3, 330624, 23851.12, 67, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 481,  5,  9,  116, 1, 3, 353250, 23851.12, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 621,  6,  8,  116, 1, 3, 371738, 23851.12, 95, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 625,  5, 10,  116, 1, 3, 383927, 23851.12, 109, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 448,  9,  5,  116, 1, 3, 353192, 23851.12, 240, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 627,  5, 10,  116, 1, 3, 384076, 23851.12, 32, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 412,  9,  5,  116, 1, 3, 353273, 23851.12, 183, 0.00, 1: 40; 2: 23; 3: 10; 
Apoptosis_network, 297,  6,  8,  116, 1, 3, 371882, 23851.12, 66, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network, 731,  5,  9,  116, 1, 3, 353260, 23851.12, 10, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 783,  5,  9,  116, 1, 3, 353270, 23851.12, 0, 0.00, 1: 37; 2: 29; 3: 7; 
Apoptosis_network, 369,  6,  8,  116, 1, 3, 372016, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 366,  5,  9,  116, 1, 3, 353199, 23851.12, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 801,  5, 10,  116, 1, 3, 384145, 23851.12, 0, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 349,  6,  7,  116, 1, 3, 330624, 23851.12, 85, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network, 990,  5, 10,  116, 1, 3, 384074, 23851.12, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 826,  6,  7,  116, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 839,  7,  6,  116, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network, 308,  7,  6,  116, 1, 3, 330624, 23851.12, 11, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network,  28,  6,  8,  116, 1, 3, 372124, 23851.12, 183, 0.00, 1: 39; 2: 25; 3: 9; 
Apoptosis_network,  76,  6,  8,  116, 1, 3, 371956, 23851.12, 183, 0.00, 1: 38; 2: 27; 3: 8; 
Apoptosis_network,  19,  6,  7,  116, 1, 3, 330624, 23851.12, 10, 0.00, 1: 36; 2: 31; 3: 6; 
Apoptosis_network,  37,  6,  8,  116, 1, 3, 371931, 23851.12, 0, 0.00, 1: 35; 2: 33; 3: 5; 
Apoptosis_network,  87,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 780,  6,  8,  117, 1, 3, 371876, 23851.12, 183, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 612,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 165,  9,  5,  117, 1, 3, 353157, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 613,  6,  8,  117, 1, 3, 371884, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network,  59,  5, 10,  117, 1, 3, 384002, 23851.12, 0, 0.00, 1: 34; 2: 34; 3: 5; 
Apoptosis_network, 890,  7,  6,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 362,  6,  8,  117, 1, 3, 372015, 23851.12, 73, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 615,  6,  8,  117, 1, 3, 371938, 23851.12, 0, 0.00, 1: 33; 2: 36; 3: 4; 
Apoptosis_network, 227,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 487,  9,  5,  117, 1, 3, 353318, 23851.12, 0, 0.00, 1: 34; 2: 34; 3: 5; 
Apoptosis_network, 751,  6,  8,  117, 1, 3, 371926, 23851.12, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 744,  6,  8,  117, 1, 3, 371807, 23851.12, 32, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 738,  5,  9,  117, 1, 3, 353313, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 906,  5,  9,  117, 1, 3, 353305, 23851.12, 86, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 461,  9,  5,  117, 1, 3, 353201, 23851.12, 85, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 236,  9,  5,  117, 1, 3, 353196, 23851.12, 102, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 797,  6,  8,  117, 1, 3, 371917, 23851.12, 85, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 829,  5,  9,  117, 1, 3, 353301, 23851.12, 0, 0.00, 1: 40; 2: 22; 3: 11; 
Apoptosis_network, 198,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 323,  9,  5,  117, 1, 3, 353297, 23851.12, 10, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 984,  5,  9,  117, 1, 3, 353270, 23851.12, 104, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 566,  9,  5,  117, 1, 3, 353265, 23851.12, 255, 0.00, 1: 34; 2: 34; 3: 5; 
Apoptosis_network, 849,  6,  7,  117, 1, 3, 330624, 23851.12, 98, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 513,  5, 10,  117, 1, 3, 384120, 23851.12, 95, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 799,  7,  6,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 168,  6,  7,  117, 1, 3, 330624, 23851.12, 32, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 862,  6,  8,  117, 1, 3, 371858, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 495,  9,  5,  117, 1, 3, 353333, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 310,  4, 12,  117, 1, 3, 371909, 23851.12, 0, 0.00, 1: 41; 2: 20; 3: 12; 
Apoptosis_network, 214,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 348,  9,  5,  117, 1, 3, 353261, 23851.12, 183, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 350,  5, 10,  117, 1, 3, 384181, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 624,  9,  5,  117, 1, 3, 353396, 23851.12, 109, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 169,  5,  9,  117, 1, 3, 353315, 23851.12, 65, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 919,  4, 11,  117, 1, 3, 346044, 23851.12, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 658,  5, 10,  117, 1, 3, 383944, 23851.12, 86, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 416,  5, 10,  117, 1, 3, 384198, 23851.12, 6, 0.00, 1: 37; 2: 28; 3: 8; 
