Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 350,  5, 10,   92, 1, 2, 383635, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 167,  5,  9,   92, 1, 2, 353180, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 661,  6,  8,   92, 1, 2, 371842, 23464.91, 85, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 760,  7,  6,   92, 1, 2, 330624, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 754,  5,  9,   92, 1, 2, 353263, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 735,  9,  5,   92, 1, 2, 353322, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 736,  7,  6,   92, 1, 2, 330624, 23464.91, 6, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 822,  6,  8,   92, 1, 2, 372152, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 513,  5, 10,   92, 1, 2, 384379, 23464.91, 31, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 956,  5, 10,   92, 1, 2, 384169, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 544,  5,  9,   92, 1, 2, 353369, 23464.91, 6, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 550,  6,  7,   92, 1, 2, 330624, 23464.91, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 963,  5,  9,   92, 1, 2, 353116, 23464.91, 212, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 415,  5, 10,   93, 1, 2, 383984, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 236,  9,  5,   93, 1, 2, 353497, 23464.91, 102, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 680,  5, 10,   93, 1, 2, 384305, 23464.91, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 969,  9,  5,   93, 1, 2, 353261, 23464.91, 34, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 197,  7,  6,   93, 1, 2, 330624, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 909,  6,  8,   93, 1, 2, 371852, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 446,  5, 10,   93, 1, 2, 384034, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 599,  9,  5,   93, 1, 2, 353369, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 491,  6,  8,   93, 1, 2, 372104, 23464.91, 115, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 816,  5, 10,   93, 1, 2, 384176, 23464.91, 21, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 514,  6,  8,   93, 1, 2, 372154, 23464.91, 36, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 808,  6,  8,   93, 1, 2, 372360, 23464.91, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 990,  5, 10,   93, 1, 2, 384321, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  33,  5, 10,   93, 1, 2, 384289, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 669,  5, 10,   93, 1, 2, 383761, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 763,  6,  7,   93, 1, 2, 330624, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 577,  7,  6,   93, 1, 2, 330624, 23464.91, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 814,  6,  8,   93, 1, 2, 371837, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 445,  6,  8,   93, 1, 2, 371329, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 840,  6,  8,   93, 1, 2, 372155, 23464.91, 48, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 157,  9,  5,   93, 1, 2, 353289, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 507,  4, 12,   93, 1, 2, 372099, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  52,  4, 11,   93, 1, 2, 346083, 23464.91, 2, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  51,  5, 10,   93, 1, 2, 383673, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 576,  4, 12,   93, 1, 2, 372363, 23464.91, 144, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 426,  5, 10,   93, 1, 2, 383893, 23464.91, 99, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  50,  9,  5,   93, 1, 2, 353066, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 742,  5, 10,   93, 1, 2, 384191, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 783,  5,  9,   93, 1, 2, 353330, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 174,  9,  5,   93, 1, 2, 353223, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 434,  6,  8,   93, 1, 2, 371916, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 177,  7,  6,   93, 1, 2, 330624, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 744,  6,  8,   93, 1, 2, 371722, 23464.91, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 187,  6,  8,   93, 1, 2, 372178, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 297,  6,  8,   93, 1, 2, 371836, 23464.91, 66, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 533,  6,  8,   93, 1, 2, 371371, 23464.91, 85, 0.00, 1: 53; 2: 20; 
