Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
2(255)
Melhor resultado nxn: Apoptosis_network, 393,  6,  8,   84, 1, 2, 371892, 8114.48, 104, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 183,  7,  6,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 680,  5, 10,   87, 1, 2, 383738, 8114.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 840,  6,  8,   87, 1, 2, 372048, 8114.48, 48, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 848,  7,  6,   87, 1, 2, 330624, 8114.48, 48, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  43,  5, 10,   87, 1, 2, 384007, 8114.48, 48, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 270,  6,  7,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  70,  6,  8,   87, 1, 2, 372147, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 358,  6,  7,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 883,  6,  8,   87, 1, 2, 372178, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 266,  5,  9,   87, 1, 2, 353383, 8114.48, 220, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 641,  4, 12,   87, 1, 2, 371789, 8114.48, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 860,  9,  5,   87, 1, 2, 353083, 8114.48, 54, 0.00, 1: 59; 2: 14; 
Apoptosis_network,   5,  6,  7,   87, 1, 2, 330624, 8114.48, 127, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 863,  7,  6,   87, 1, 2, 330624, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 260,  5, 10,   87, 1, 2, 384036, 8114.48, 54, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 607,  6,  8,   87, 1, 2, 371919, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 394,  7,  6,   87, 1, 2, 330624, 8114.48, 220, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 906,  5,  9,   87, 1, 2, 353201, 8114.48, 115, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 729,  7,  6,   87, 1, 2, 330624, 8114.48, 73, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 974,  9,  5,   87, 1, 2, 353175, 8114.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 297,  6,  8,   87, 1, 2, 372064, 8114.48, 66, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 597,  5,  9,   87, 1, 2, 353206, 8114.48, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 914,  6,  8,   87, 1, 2, 371938, 8114.48, 115, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 841,  4, 12,   87, 1, 2, 372066, 8114.48, 66, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 850,  4, 12,   88, 1, 2, 371892, 8114.48, 115, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 846,  4, 11,   88, 1, 2, 345960, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 791,  4, 12,   88, 1, 2, 372131, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 273,  6,  8,   88, 1, 2, 372137, 8114.48, 113, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 489,  7,  6,   88, 1, 2, 330624, 8114.48, 67, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 789,  5,  9,   88, 1, 2, 353245, 8114.48, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 498,  6,  8,   88, 1, 2, 371967, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 237,  7,  6,   88, 1, 2, 330624, 8114.48, 49, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 875,  6,  8,   88, 1, 2, 371907, 8114.48, 115, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 500,  4, 11,   88, 1, 2, 346002, 8114.48, 33, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 134,  5,  9,   88, 1, 2, 353303, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 488,  7,  6,   88, 1, 2, 330624, 8114.48, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 376,  5,  9,   88, 1, 2, 353295, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 915,  6,  7,   88, 1, 2, 330624, 8114.48, 119, 0.00, 1: 58; 2: 15; 
